,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226
0,0.476923,0.472615,0.468923,0.466462,0.464,0.462769,0.462769,0.462769,0.464,0.465846,0.468308,0.471385,0.475692,0.480615,0.485538,0.470154,0.465231,0.460923,0.457846,0.455385,0.453538,0.452308,0.452308,0.452923,0.454769,0.456615,0.460308,0.464,0.468923,0.475077,0.464,0.457846,0.452923,0.448615,0.445538,0.443077,0.441231,0.440615,0.441231,0.442462,0.444308,0.448,0.452308,0.457846,0.463385,0.457231,0.450462,0.444923,0.440615,0.436923,0.433846,0.431385,0.430154,0.430154,0.430769,0.433231,0.436308,0.440615,0.446154,0.453538,0.451077,0.444923,0.438154,0.433231,0.428923,0.425231,0.422769,0.420923,0.420308,0.420923,0.423385,0.426462,0.430154,0.435692,0.442462,0.447385,0.438154,0.432,0.427692,0.422154,0.418462,0.414769,0.412923,0.412308,0.412308,0.414154,0.417231,0.421538,0.427077,0.433846,0.443692,0.435077,0.428308,0.421538,0.415385,0.411077,0.408,0.405538,0.404923,0.405538,0.407385,0.410462,0.414769,0.420308,0.427077,0.442462,0.432615,0.424615,0.417846,0.411692,0.406769,0.403077,0.400615,0.4,0.4,0.401846,0.405538,0.409846,0.416,0.422769,0.443692,0.433231,0.424615,0.416615,0.409846,0.404923,0.400615,0.398154,0.397538,0.398154,0.4,0.403077,0.408,0.413538,0.420923,0.446154,0.435077,0.425846,0.417846,0.411077,0.405538,0.401231,0.398769,0.397538,0.398154,0.4,0.403692,0.408615,0.414769,0.422154,0.452923,0.440615,0.430769,0.422154,0.414769,0.408615,0.404308,0.401231,0.400615,0.401231,0.403077,0.406769,0.412308,0.418462,0.425846,0.462154,0.448615,0.437538,0.428308,0.420923,0.414769,0.410462,0.407385,0.406154,0.406769,0.409231,0.412923,0.418462,0.425846,0.433846,0.475077,0.461538,0.448615,0.438769,0.430769,0.424615,0.419692,0.416615,0.415385,0.416615,0.418462,0.422769,0.428923,0.436308,0.444923,0.491692,0.478154,0.464,0.454154,0.444308,0.438769,0.432615,0.430154,0.428923,0.429538,0.432,0.436923,0.443077,0.450462,0.459692,0.514462,0.499077,0.484308,0.473846,0.462769,0.457231,0.450462,0.448615,0.446769,0.447385,0.450462,0.454769,0.460923,0.468308,0.477538,59.0,48.0
1,0.390154,0.395077,0.400615,0.406154,0.411077,0.414769,0.419692,0.423385,0.427077,0.430769,0.434462,0.436923,0.438154,0.439385,0.441231,0.424615,0.430154,0.435692,0.440615,0.445538,0.449846,0.454769,0.458462,0.462769,0.465846,0.468923,0.470769,0.472,0.472615,0.474462,0.456,0.461538,0.466462,0.472,0.477538,0.481846,0.486154,0.490462,0.494154,0.497846,0.500923,0.502154,0.502769,0.504,0.503385,0.483692,0.489231,0.494769,0.500308,0.505231,0.510154,0.514462,0.518769,0.522462,0.525538,0.527385,0.528,0.528615,0.530462,0.528615,0.507692,0.513846,0.518769,0.524308,0.529846,0.534154,0.538462,0.541538,0.544615,0.547077,0.549538,0.548923,0.550154,0.552,0.548923,0.528,0.534154,0.539692,0.544615,0.549538,0.553231,0.556923,0.56,0.563077,0.564923,0.567385,0.566769,0.567385,0.566769,0.564923,0.544615,0.550154,0.555077,0.56,0.564308,0.568,0.571077,0.573538,0.576,0.577846,0.578462,0.579077,0.579077,0.577846,0.576615,0.556923,0.561231,0.566154,0.570462,0.574154,0.577231,0.579692,0.581538,0.583385,0.584615,0.585846,0.585846,0.585231,0.584615,0.583385,0.564308,0.568615,0.573538,0.576,0.579077,0.581538,0.583385,0.584615,0.585846,0.586462,0.586462,0.585846,0.585231,0.584615,0.584,0.568,0.571692,0.575385,0.577231,0.579692,0.580308,0.581538,0.581538,0.582154,0.581538,0.580923,0.580308,0.579692,0.579077,0.578462,0.568,0.571077,0.573538,0.574154,0.575385,0.575385,0.574769,0.574154,0.572923,0.572308,0.571077,0.570462,0.569846,0.569231,0.569231,0.565538,0.566769,0.568,0.568,0.566769,0.565538,0.563077,0.561231,0.559385,0.558154,0.556923,0.555692,0.555077,0.555077,0.555077,0.56,0.56,0.558769,0.556923,0.553846,0.550769,0.547692,0.544615,0.542154,0.540308,0.539077,0.538462,0.538462,0.539077,0.540308,0.552615,0.550769,0.547692,0.544,0.539692,0.535385,0.531077,0.527385,0.524308,0.522462,0.521231,0.521231,0.521231,0.522462,0.524308,0.543385,0.539692,0.534769,0.529231,0.523077,0.518154,0.513231,0.509538,0.505846,0.504,0.502769,0.502769,0.504,0.506462,0.509538,33.0,40.0
2,0.534154,0.541538,0.549538,0.558154,0.565538,0.572308,0.577846,0.582769,0.586462,0.589538,0.592,0.593231,0.593231,0.593231,0.592615,0.545231,0.553231,0.561231,0.568615,0.574769,0.580923,0.586462,0.591385,0.594462,0.597538,0.6,0.601231,0.601231,0.600615,0.6,0.553846,0.563077,0.571692,0.578462,0.585846,0.590769,0.595077,0.599385,0.603077,0.604923,0.606769,0.608,0.607385,0.606769,0.604923,0.562462,0.571692,0.579692,0.588308,0.593846,0.598769,0.602462,0.606769,0.609231,0.611692,0.612923,0.613538,0.612923,0.611692,0.609231,0.569846,0.577846,0.586462,0.593846,0.6,0.606154,0.609846,0.612923,0.615385,0.617231,0.617846,0.618462,0.617231,0.615385,0.612923,0.577846,0.585846,0.594462,0.601846,0.606154,0.611077,0.614769,0.617846,0.620308,0.622154,0.622769,0.622154,0.620923,0.618462,0.615385,0.584,0.592,0.6,0.606769,0.611077,0.616,0.620308,0.622769,0.624615,0.625846,0.625846,0.624615,0.623385,0.620923,0.617231,0.590154,0.598769,0.606769,0.612308,0.616615,0.620308,0.623385,0.625846,0.627692,0.628308,0.627692,0.626462,0.624615,0.622154,0.618462,0.596308,0.603692,0.611077,0.615385,0.619692,0.623385,0.625846,0.627692,0.628923,0.629538,0.628923,0.627692,0.625231,0.622769,0.618462,0.601846,0.609231,0.614769,0.618462,0.622154,0.625231,0.627077,0.628308,0.629538,0.629538,0.628923,0.627692,0.625231,0.622154,0.618462,0.606154,0.612308,0.617231,0.620308,0.623385,0.625231,0.626462,0.627692,0.628308,0.628308,0.627692,0.625846,0.624,0.620923,0.617231,0.609846,0.614154,0.618462,0.620923,0.622154,0.623385,0.624615,0.625231,0.625231,0.625231,0.624615,0.623385,0.621538,0.618462,0.615385,0.611077,0.614769,0.617231,0.619077,0.618462,0.619692,0.620308,0.620923,0.620923,0.620308,0.619692,0.619077,0.617231,0.615385,0.612308,0.611077,0.612923,0.614154,0.614769,0.613538,0.614154,0.614154,0.614154,0.614154,0.613538,0.613538,0.612923,0.611692,0.610462,0.608,0.607385,0.608,0.607385,0.607385,0.606154,0.605538,0.604923,0.604923,0.604308,0.604308,0.604923,0.604923,0.604923,0.603692,0.602462,36.0,38.0
3,0.517538,0.518769,0.520615,0.521846,0.524308,0.526154,0.528,0.529846,0.531692,0.533538,0.535385,0.536615,0.537231,0.537846,0.537846,0.530462,0.532923,0.535385,0.537846,0.540308,0.542769,0.544615,0.547077,0.548923,0.550154,0.551385,0.552,0.552615,0.553231,0.553231,0.547077,0.549538,0.552615,0.555077,0.558154,0.560615,0.562462,0.564308,0.565538,0.566769,0.567385,0.568,0.568615,0.568615,0.568,0.566154,0.568615,0.571077,0.573538,0.576,0.577846,0.579692,0.581538,0.582769,0.583385,0.584,0.584,0.584,0.584,0.582769,0.580923,0.584,0.586462,0.589538,0.592,0.593846,0.595692,0.596923,0.598154,0.598769,0.599385,0.598769,0.598154,0.597538,0.596308,0.593846,0.596923,0.6,0.602462,0.604308,0.606154,0.608,0.609231,0.610462,0.611692,0.611077,0.610462,0.609231,0.608,0.606154,0.606154,0.608,0.611077,0.613538,0.615385,0.616615,0.617846,0.619077,0.620308,0.620308,0.620308,0.619077,0.617231,0.614769,0.612923,0.611077,0.614154,0.617846,0.620308,0.621538,0.623385,0.624615,0.625846,0.626462,0.626462,0.624615,0.622769,0.620923,0.619077,0.617231,0.615385,0.617846,0.620923,0.624,0.625846,0.627077,0.628308,0.628923,0.628923,0.627692,0.626462,0.625231,0.622769,0.620923,0.618462,0.614769,0.617231,0.620923,0.622769,0.625231,0.626462,0.627692,0.628308,0.628308,0.627692,0.626462,0.624615,0.622769,0.620308,0.617231,0.610462,0.612308,0.615385,0.618462,0.620923,0.622769,0.624615,0.625846,0.625846,0.625231,0.624615,0.622769,0.620923,0.618462,0.614769,0.604308,0.606154,0.608,0.609231,0.611692,0.614769,0.617846,0.619692,0.620923,0.621538,0.620923,0.619692,0.617846,0.614769,0.611692,0.594462,0.596308,0.599385,0.601231,0.603692,0.605538,0.608,0.611077,0.614154,0.616,0.616,0.615385,0.613538,0.611077,0.608,0.580308,0.581538,0.584,0.587077,0.590769,0.594462,0.598154,0.601231,0.604308,0.608615,0.610462,0.610462,0.609846,0.607385,0.604308,0.561846,0.561846,0.564308,0.566769,0.571692,0.577231,0.583385,0.589538,0.594462,0.598769,0.603077,0.605538,0.605538,0.604308,0.601846,98.0,37.0
4,0.550769,0.552615,0.553846,0.553846,0.553846,0.552,0.550154,0.547077,0.543385,0.539077,0.534154,0.528615,0.523692,0.518154,0.512615,0.565538,0.568,0.569846,0.570462,0.569846,0.568615,0.566769,0.563692,0.559385,0.555077,0.550154,0.544615,0.539077,0.533538,0.527385,0.578462,0.582154,0.584,0.585231,0.585846,0.584615,0.582769,0.580308,0.576,0.571692,0.566154,0.560615,0.555077,0.548923,0.543385,0.589538,0.593846,0.596923,0.598769,0.6,0.6,0.598769,0.596308,0.592615,0.588308,0.583385,0.577846,0.571692,0.565538,0.559385,0.597538,0.601846,0.606154,0.609231,0.611077,0.611692,0.611077,0.609846,0.607385,0.604308,0.6,0.595077,0.588923,0.582769,0.576615,0.602462,0.608615,0.613538,0.617231,0.619692,0.621538,0.621538,0.620923,0.619077,0.616615,0.612923,0.608615,0.603692,0.598154,0.592615,0.605538,0.612308,0.617846,0.622769,0.625846,0.627692,0.628923,0.628923,0.628308,0.626462,0.624,0.620923,0.616615,0.611692,0.606154,0.605538,0.613538,0.619692,0.625231,0.628923,0.632,0.633846,0.634462,0.633846,0.633231,0.631385,0.628308,0.625231,0.620923,0.616615,0.603692,0.612308,0.619692,0.625231,0.629538,0.633231,0.635692,0.636923,0.636923,0.636308,0.634462,0.632615,0.630154,0.626462,0.622769,0.6,0.609231,0.617231,0.623385,0.628308,0.632,0.634462,0.636308,0.636308,0.635692,0.634462,0.633231,0.630769,0.627692,0.624615,0.595077,0.604923,0.613538,0.620308,0.625231,0.628923,0.632,0.633231,0.633846,0.633231,0.632,0.630154,0.628308,0.625231,0.622769,0.589538,0.6,0.608615,0.616,0.620923,0.624615,0.627077,0.628308,0.628923,0.628308,0.627077,0.624615,0.622769,0.619692,0.616615,0.584,0.593846,0.603077,0.609846,0.615385,0.619077,0.621538,0.622769,0.622154,0.620923,0.619692,0.616615,0.614154,0.611077,0.607385,0.578462,0.588308,0.596923,0.603692,0.608615,0.612308,0.614154,0.614769,0.614154,0.612308,0.610462,0.606769,0.604308,0.6,0.596923,0.573538,0.582769,0.590769,0.596923,0.601846,0.604923,0.606769,0.606769,0.605538,0.603077,0.6,0.596308,0.593231,0.588923,0.585846,100.0,41.0
5,0.552,0.565538,0.578462,0.589538,0.599385,0.608,0.615385,0.620923,0.624615,0.626462,0.627692,0.627077,0.625846,0.623385,0.619077,0.569231,0.581538,0.593846,0.603692,0.612923,0.620923,0.627692,0.633231,0.636923,0.638769,0.638769,0.637538,0.635692,0.632615,0.629538,0.583385,0.595692,0.606769,0.616615,0.625231,0.633231,0.638769,0.643692,0.646154,0.648,0.648,0.646154,0.644923,0.641846,0.637538,0.595692,0.607385,0.617846,0.627692,0.636923,0.643692,0.648615,0.651692,0.654154,0.654769,0.655385,0.653538,0.651692,0.648,0.644923,0.604923,0.616615,0.627692,0.637538,0.646154,0.652308,0.657846,0.660308,0.662154,0.662769,0.662154,0.660923,0.658462,0.654769,0.650462,0.612923,0.624615,0.635077,0.644923,0.652308,0.658462,0.662769,0.666462,0.668308,0.668923,0.668308,0.667077,0.664,0.659077,0.652923,0.619077,0.630154,0.640615,0.649846,0.657231,0.663385,0.667692,0.670769,0.672615,0.673231,0.672615,0.670769,0.667077,0.661538,0.654769,0.622154,0.633846,0.644308,0.652923,0.660308,0.666462,0.671385,0.674462,0.675692,0.675692,0.674462,0.671385,0.667077,0.660308,0.652308,0.623385,0.635077,0.646154,0.654769,0.662154,0.668308,0.672615,0.675692,0.676923,0.676923,0.674462,0.670154,0.665231,0.656615,0.648615,0.622769,0.634462,0.645538,0.654769,0.662769,0.668923,0.673231,0.676308,0.676923,0.675692,0.672615,0.667077,0.660923,0.651077,0.642462,0.620308,0.632615,0.643692,0.654154,0.662154,0.668923,0.673231,0.675692,0.675692,0.673231,0.668923,0.662154,0.654154,0.643692,0.632615,0.616615,0.630154,0.641846,0.652308,0.661538,0.668308,0.672615,0.673846,0.673231,0.669538,0.664,0.655385,0.645538,0.633231,0.619077,0.612308,0.626462,0.639385,0.650462,0.659692,0.667077,0.670769,0.672615,0.670154,0.665231,0.657231,0.646769,0.634462,0.619692,0.605538,0.608,0.622154,0.636308,0.648,0.658462,0.665846,0.669538,0.670154,0.667077,0.659692,0.649846,0.636923,0.622154,0.606154,0.590154,0.603692,0.618462,0.633231,0.646154,0.657231,0.665231,0.668923,0.668308,0.663385,0.654154,0.641846,0.627077,0.609231,0.590769,0.572923,102.0,38.0
6,0.501538,0.506462,0.512,0.517538,0.523692,0.530462,0.537231,0.544615,0.552,0.560615,0.568615,0.576,0.584,0.590769,0.595077,0.518154,0.523692,0.529231,0.535385,0.540923,0.548308,0.555692,0.563077,0.571077,0.579077,0.586462,0.593846,0.6,0.605538,0.609846,0.534769,0.539692,0.545846,0.552,0.558769,0.566154,0.574154,0.582154,0.590154,0.598154,0.604923,0.611692,0.616,0.620923,0.622154,0.550154,0.555692,0.562462,0.569231,0.576615,0.585231,0.593231,0.601846,0.609231,0.615385,0.621538,0.625846,0.628923,0.631385,0.631385,0.564923,0.571077,0.578462,0.586462,0.595077,0.603077,0.611077,0.618462,0.625231,0.630769,0.634462,0.637538,0.638154,0.638769,0.636923,0.579077,0.586462,0.595692,0.604308,0.611692,0.619692,0.626462,0.632,0.637538,0.640615,0.643692,0.644308,0.643692,0.641846,0.638769,0.593846,0.602462,0.610462,0.617846,0.625846,0.632615,0.638154,0.643077,0.646154,0.648,0.648615,0.648,0.645538,0.642462,0.637538,0.606769,0.614769,0.622154,0.630154,0.636308,0.642462,0.646154,0.649231,0.651077,0.651692,0.650462,0.648,0.644308,0.64,0.633231,0.617231,0.624,0.632,0.638769,0.644308,0.648,0.651077,0.652308,0.652923,0.651692,0.649231,0.646154,0.640615,0.635077,0.625846,0.624,0.632,0.638154,0.643692,0.648,0.651077,0.652923,0.652923,0.652308,0.649846,0.646154,0.641231,0.633846,0.627692,0.616,0.629538,0.635692,0.641231,0.646154,0.649231,0.651077,0.651692,0.651077,0.649231,0.645538,0.640615,0.634462,0.626462,0.617231,0.604923,0.631385,0.636308,0.641846,0.645538,0.648,0.649231,0.649231,0.647385,0.644308,0.639385,0.633846,0.625846,0.616,0.605538,0.591385,0.630769,0.635077,0.639385,0.642462,0.644308,0.644923,0.644308,0.641846,0.638154,0.632615,0.625231,0.616615,0.605538,0.592,0.576615,0.627692,0.632,0.635077,0.638154,0.639385,0.639385,0.638154,0.635692,0.631385,0.625231,0.616615,0.605538,0.592615,0.577231,0.56,0.622154,0.625846,0.628923,0.631385,0.632615,0.632615,0.630769,0.627692,0.623385,0.616615,0.607385,0.595077,0.580308,0.563077,0.544615,41.0,58.0
7,0.659077,0.665231,0.670154,0.673846,0.677538,0.68,0.682462,0.683077,0.683692,0.683077,0.681846,0.679385,0.676923,0.672615,0.667692,0.685538,0.691077,0.696,0.700308,0.704,0.707077,0.708308,0.709538,0.709538,0.708308,0.707077,0.704615,0.701538,0.697231,0.691692,0.708923,0.715077,0.72,0.724923,0.728615,0.731077,0.732923,0.733538,0.732923,0.731692,0.729846,0.727385,0.723692,0.718769,0.712,0.731077,0.737231,0.742769,0.747692,0.751385,0.753846,0.755077,0.755692,0.755077,0.753846,0.751385,0.747692,0.742769,0.737231,0.729846,0.750769,0.756923,0.762462,0.766769,0.769846,0.772308,0.773538,0.774154,0.773538,0.771692,0.769231,0.765538,0.76,0.753846,0.745846,0.766769,0.772308,0.777231,0.780923,0.784,0.785846,0.787077,0.787692,0.787692,0.785846,0.783385,0.779692,0.774154,0.767385,0.759385,0.778462,0.783385,0.787692,0.790769,0.793846,0.796308,0.797538,0.798154,0.798154,0.796923,0.794462,0.790154,0.785231,0.778462,0.769846,0.785846,0.789538,0.793846,0.796923,0.8,0.802462,0.804308,0.804923,0.804923,0.804308,0.801846,0.798154,0.793231,0.786462,0.778462,0.787077,0.790769,0.795077,0.798769,0.801846,0.804308,0.806769,0.808,0.808615,0.808,0.806154,0.803077,0.798769,0.792615,0.784615,0.782769,0.787077,0.790769,0.795077,0.798769,0.802462,0.805538,0.807385,0.808615,0.809231,0.808,0.806154,0.801846,0.796308,0.788923,0.772308,0.776615,0.781538,0.787077,0.792,0.796308,0.800615,0.803692,0.806154,0.807385,0.807385,0.806154,0.803077,0.798154,0.791385,0.756308,0.760615,0.766769,0.773538,0.780308,0.787077,0.792615,0.797538,0.801231,0.803692,0.804923,0.804308,0.802462,0.798154,0.792,0.735385,0.740308,0.747692,0.756923,0.765538,0.774154,0.782154,0.788308,0.793846,0.798154,0.800615,0.801231,0.8,0.796923,0.791385,0.714462,0.718769,0.726154,0.736615,0.748308,0.759385,0.769231,0.777846,0.784615,0.790769,0.794462,0.796308,0.795692,0.793846,0.789538,0.693538,0.698462,0.705846,0.716308,0.729231,0.742769,0.755077,0.765538,0.774154,0.781538,0.786462,0.790154,0.791385,0.790154,0.786462,42.0,58.0
8,0.625846,0.630154,0.633231,0.635692,0.638769,0.640615,0.641846,0.641846,0.640615,0.638769,0.636308,0.633231,0.629538,0.624615,0.619692,0.647385,0.652308,0.656,0.659692,0.662154,0.663385,0.663385,0.662769,0.661538,0.660308,0.658462,0.654154,0.650462,0.644923,0.638769,0.667692,0.672,0.675692,0.678154,0.680615,0.681846,0.683077,0.682462,0.681231,0.68,0.677538,0.673231,0.668923,0.663385,0.656615,0.681846,0.686769,0.691077,0.694154,0.696615,0.698462,0.699077,0.699077,0.698462,0.697231,0.694154,0.690462,0.685538,0.68,0.673846,0.695385,0.699077,0.702769,0.706462,0.708923,0.711385,0.712615,0.713231,0.712615,0.710769,0.708308,0.704615,0.700308,0.694769,0.688615,0.702154,0.707077,0.711385,0.715692,0.718769,0.721231,0.723692,0.724308,0.724308,0.722462,0.721231,0.717538,0.713846,0.708923,0.703385,0.708923,0.713846,0.718154,0.722462,0.726154,0.729846,0.731077,0.732308,0.732308,0.732308,0.730462,0.727385,0.723692,0.718769,0.712615,0.712,0.717538,0.722462,0.726769,0.731077,0.734154,0.736615,0.737846,0.738462,0.737846,0.736615,0.734769,0.731077,0.726769,0.721231,0.713846,0.719385,0.724308,0.729231,0.733538,0.737231,0.739077,0.740308,0.740923,0.741538,0.740308,0.738462,0.735385,0.731692,0.726769,0.713846,0.718769,0.724308,0.729846,0.734154,0.737846,0.739692,0.741538,0.742154,0.742154,0.740923,0.739077,0.736615,0.733538,0.729231,0.713231,0.718154,0.723692,0.728,0.732308,0.735385,0.737846,0.739077,0.739692,0.739692,0.739692,0.738462,0.736,0.732923,0.729231,0.712615,0.717538,0.722462,0.726154,0.729846,0.732308,0.734154,0.734769,0.734769,0.734769,0.733538,0.732308,0.731077,0.729231,0.726154,0.712615,0.716308,0.720615,0.723692,0.725538,0.726769,0.727385,0.727385,0.726769,0.726154,0.724923,0.723692,0.722462,0.721231,0.72,0.712,0.715077,0.717538,0.719385,0.72,0.719385,0.718154,0.716923,0.715077,0.713231,0.712,0.710769,0.710154,0.709538,0.709538,0.711385,0.713231,0.713846,0.713231,0.712,0.709538,0.706462,0.703385,0.700308,0.697231,0.694769,0.693538,0.693538,0.694154,0.695385,38.0,29.0
9,0.651692,0.652308,0.653538,0.653538,0.654154,0.653538,0.653538,0.652308,0.651077,0.649231,0.647385,0.644308,0.641231,0.637538,0.633231,0.665846,0.667692,0.669538,0.670769,0.671385,0.671385,0.671385,0.670769,0.668923,0.667077,0.664615,0.661538,0.657846,0.654154,0.649846,0.680615,0.682462,0.684308,0.685538,0.686769,0.687385,0.688,0.687385,0.686154,0.683692,0.681231,0.678154,0.674462,0.670154,0.665231,0.692923,0.696,0.699077,0.700308,0.702154,0.702154,0.702769,0.702154,0.700923,0.699077,0.696615,0.693538,0.689231,0.685538,0.68,0.705846,0.708308,0.710769,0.713231,0.715077,0.715692,0.716308,0.715692,0.714462,0.712615,0.710154,0.707077,0.703385,0.698462,0.693538,0.715077,0.718769,0.721846,0.723692,0.725538,0.726154,0.726769,0.726154,0.725538,0.724308,0.721846,0.718769,0.715077,0.710769,0.705231,0.723077,0.726154,0.729231,0.731077,0.732923,0.734154,0.734769,0.734769,0.734154,0.732923,0.731077,0.728,0.724308,0.72,0.715077,0.726769,0.730462,0.732923,0.735385,0.737231,0.738462,0.739692,0.739692,0.739692,0.738462,0.737231,0.734769,0.732308,0.728615,0.723692,0.728,0.731077,0.733538,0.736,0.737846,0.739077,0.740308,0.740923,0.741538,0.740923,0.740308,0.738462,0.736,0.732923,0.729231,0.725538,0.728615,0.731077,0.732923,0.734769,0.736,0.737846,0.739077,0.739692,0.740308,0.740308,0.739692,0.738462,0.736,0.732923,0.721231,0.723692,0.726154,0.728,0.729846,0.731692,0.732308,0.734154,0.735385,0.736,0.737231,0.737231,0.737231,0.736,0.734154,0.713846,0.716923,0.719385,0.721231,0.723077,0.724923,0.726769,0.728,0.729846,0.731077,0.732308,0.733538,0.734154,0.734154,0.733538,0.702769,0.705846,0.708308,0.710769,0.713231,0.715077,0.717538,0.719385,0.721846,0.723692,0.725538,0.727385,0.729231,0.730462,0.730462,0.689231,0.692308,0.694769,0.697231,0.699692,0.702154,0.704615,0.707077,0.709538,0.712615,0.716308,0.718769,0.721846,0.724308,0.725538,0.672615,0.675077,0.676923,0.679385,0.681846,0.684308,0.687385,0.690462,0.694154,0.697846,0.702154,0.707077,0.711385,0.715692,0.718769,43.0,32.0
