,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226
0,0.712,0.723077,0.732923,0.740923,0.748308,0.753846,0.758769,0.760615,0.763077,0.761846,0.760615,0.756308,0.750769,0.742769,0.733538,0.720615,0.732308,0.742154,0.750769,0.758154,0.764308,0.768,0.771077,0.772308,0.772308,0.770462,0.766769,0.761231,0.753231,0.743385,0.729231,0.740308,0.750769,0.759385,0.766769,0.772308,0.777231,0.780308,0.781538,0.781538,0.779077,0.776,0.770462,0.762462,0.752615,0.736,0.747692,0.757538,0.766769,0.774154,0.780308,0.784615,0.787692,0.788923,0.789538,0.787692,0.783385,0.777846,0.770462,0.760615,0.742154,0.753846,0.764308,0.772923,0.780923,0.786462,0.790769,0.793846,0.795692,0.795692,0.793846,0.790154,0.784615,0.776615,0.767385,0.747692,0.758769,0.769231,0.777846,0.785231,0.791385,0.795692,0.799385,0.801231,0.801231,0.799385,0.795077,0.789538,0.780923,0.771077,0.752,0.763077,0.773538,0.782154,0.788923,0.795077,0.8,0.803077,0.804923,0.804923,0.803077,0.799385,0.793846,0.785846,0.776,0.755692,0.766769,0.776615,0.784615,0.792,0.797538,0.802462,0.805538,0.807385,0.808,0.806154,0.802462,0.796308,0.788923,0.777846,0.759385,0.769846,0.779077,0.786462,0.793846,0.798769,0.803692,0.807385,0.809231,0.809231,0.807385,0.803692,0.798769,0.790769,0.781538,0.761846,0.771692,0.780308,0.787692,0.794462,0.799385,0.803692,0.807385,0.809231,0.809846,0.808,0.804923,0.798769,0.792,0.782154,0.763692,0.772923,0.780923,0.787692,0.793846,0.798769,0.802462,0.806154,0.808,0.808615,0.807385,0.804923,0.798769,0.791385,0.782154,0.764923,0.772923,0.780308,0.786462,0.792,0.796308,0.800615,0.803077,0.805538,0.806154,0.805538,0.802462,0.797538,0.790154,0.782769,0.766154,0.772308,0.779077,0.784615,0.789538,0.793231,0.796923,0.8,0.801846,0.802462,0.801846,0.798769,0.795077,0.788923,0.782769,0.766769,0.771692,0.777231,0.781538,0.785846,0.789538,0.792615,0.795077,0.796923,0.798154,0.797538,0.795692,0.792615,0.788308,0.783385,0.768615,0.771077,0.774769,0.777846,0.780923,0.784615,0.787077,0.790154,0.792,0.793231,0.793231,0.792,0.790154,0.786462,0.783385,59.0,50.0
1,0.550769,0.541538,0.531077,0.519385,0.508308,0.496615,0.486154,0.478154,0.473231,0.470154,0.469538,0.470769,0.472615,0.475077,0.477538,0.553231,0.541538,0.528,0.514462,0.500308,0.486769,0.475692,0.468308,0.464,0.462154,0.462769,0.464615,0.467692,0.470769,0.475077,0.553846,0.539692,0.523692,0.507077,0.490462,0.475692,0.464615,0.457231,0.453538,0.451692,0.452923,0.456,0.460923,0.465846,0.470769,0.553846,0.536615,0.518154,0.499077,0.48,0.464,0.452308,0.444923,0.440615,0.44,0.442462,0.446154,0.452308,0.459077,0.466462,0.552615,0.532923,0.512,0.490462,0.469538,0.452308,0.440615,0.432615,0.428308,0.427692,0.430154,0.436308,0.443692,0.451692,0.460308,0.552,0.530462,0.507077,0.483077,0.460308,0.441846,0.429538,0.420923,0.416615,0.416615,0.420308,0.426462,0.435077,0.444923,0.455385,0.552615,0.528615,0.503385,0.476923,0.452308,0.433231,0.419692,0.410462,0.406154,0.406769,0.411077,0.418462,0.428308,0.439385,0.450462,0.553846,0.528615,0.502154,0.473846,0.447385,0.427692,0.412923,0.403692,0.398769,0.399385,0.403077,0.412923,0.423385,0.435077,0.447385,0.556923,0.531077,0.503385,0.473846,0.446154,0.424615,0.409846,0.4,0.395077,0.395077,0.399385,0.408,0.420923,0.433846,0.446769,0.562462,0.536,0.507692,0.477538,0.448615,0.426462,0.410462,0.4,0.395077,0.395077,0.399385,0.408,0.420923,0.434462,0.448,0.569846,0.543385,0.515077,0.485538,0.456,0.432,0.416,0.404308,0.398769,0.398769,0.403077,0.411692,0.424,0.438769,0.452923,0.578462,0.553846,0.526154,0.497231,0.468308,0.443077,0.425846,0.413538,0.407385,0.406769,0.411077,0.419077,0.431385,0.445538,0.459692,0.588923,0.566154,0.540308,0.512615,0.484923,0.459077,0.440615,0.427692,0.420923,0.419692,0.423385,0.431385,0.442462,0.456,0.470154,0.600615,0.579692,0.556308,0.529846,0.504615,0.479385,0.459692,0.446769,0.439385,0.436923,0.44,0.447385,0.457846,0.470154,0.483692,0.612308,0.593231,0.572923,0.549538,0.526154,0.504,0.483692,0.469538,0.460923,0.458462,0.460308,0.467077,0.476308,0.487385,0.499692,20.0,31.0
2,0.415385,0.419692,0.423385,0.427077,0.430154,0.432,0.433231,0.435692,0.437538,0.440615,0.443077,0.446769,0.450462,0.454769,0.459077,0.425846,0.428308,0.431385,0.433231,0.434462,0.435077,0.435692,0.436923,0.438154,0.440615,0.443077,0.446154,0.449846,0.454769,0.459692,0.435077,0.436923,0.438154,0.438769,0.437538,0.436923,0.436923,0.436923,0.437538,0.438154,0.440615,0.443692,0.448,0.452923,0.459077,0.443692,0.444308,0.443692,0.441846,0.44,0.438154,0.436308,0.434462,0.433846,0.434462,0.436308,0.44,0.444923,0.451077,0.457846,0.451692,0.450462,0.448,0.444308,0.440615,0.437538,0.433846,0.431385,0.429538,0.429538,0.431385,0.435692,0.441231,0.448,0.456,0.459692,0.456,0.451692,0.446154,0.440615,0.435077,0.430154,0.425846,0.424,0.424,0.425846,0.430154,0.436923,0.444923,0.454154,0.466462,0.460923,0.454154,0.446769,0.439385,0.432,0.425846,0.420923,0.418462,0.417846,0.420308,0.425231,0.433231,0.442462,0.452923,0.473231,0.465846,0.456615,0.447385,0.437538,0.428923,0.420923,0.415385,0.412923,0.412923,0.416,0.421538,0.430154,0.441231,0.453538,0.48,0.470154,0.459077,0.448,0.436308,0.425846,0.417846,0.411692,0.408,0.408,0.411692,0.418462,0.428308,0.441231,0.455385,0.487385,0.475692,0.462769,0.449231,0.436308,0.424615,0.414769,0.408,0.404308,0.404923,0.408615,0.416615,0.428308,0.442462,0.459077,0.496,0.481846,0.467077,0.452308,0.438154,0.425231,0.414769,0.407385,0.403692,0.403692,0.408615,0.417846,0.430769,0.446769,0.465231,0.505846,0.491077,0.474462,0.457846,0.442462,0.428923,0.417846,0.410462,0.406154,0.407385,0.412308,0.422769,0.436923,0.454154,0.473846,0.517538,0.501538,0.484308,0.466462,0.450462,0.436308,0.425231,0.417231,0.413538,0.414769,0.420923,0.431385,0.447385,0.465846,0.486154,0.531692,0.515077,0.496615,0.478769,0.462154,0.448,0.436308,0.428923,0.425231,0.427077,0.433846,0.445538,0.462154,0.481231,0.502154,0.548308,0.531692,0.513846,0.495385,0.478769,0.464,0.452308,0.444923,0.442462,0.444923,0.452308,0.465231,0.481846,0.500923,0.521846,26.0,29.0
3,0.574154,0.561231,0.549538,0.539077,0.529846,0.521846,0.515077,0.508923,0.504,0.499692,0.496,0.492923,0.491077,0.489231,0.488,0.571692,0.558154,0.546462,0.535385,0.526154,0.517538,0.510769,0.505231,0.500923,0.497231,0.494769,0.492923,0.491692,0.491692,0.492308,0.569231,0.555077,0.542769,0.531077,0.521846,0.513846,0.507077,0.501538,0.497231,0.493538,0.492308,0.491077,0.491692,0.492923,0.495385,0.566769,0.551385,0.538462,0.526769,0.516308,0.508308,0.501538,0.495385,0.492308,0.489231,0.488615,0.488615,0.491077,0.493538,0.498462,0.562462,0.547077,0.533538,0.521231,0.511385,0.502154,0.496,0.490462,0.487385,0.485538,0.485538,0.486769,0.489846,0.494154,0.499692,0.560615,0.544,0.529231,0.516308,0.505846,0.496615,0.490462,0.485538,0.482462,0.481846,0.482462,0.484308,0.488,0.493538,0.500923,0.558154,0.540308,0.525538,0.512,0.500923,0.491692,0.484923,0.480615,0.478769,0.478154,0.478769,0.481231,0.486154,0.492923,0.501538,0.556923,0.538462,0.522462,0.508308,0.496615,0.487385,0.480615,0.476923,0.474462,0.474462,0.475692,0.478769,0.484308,0.491692,0.502154,0.556308,0.537231,0.520615,0.505846,0.493538,0.483692,0.476923,0.473231,0.471385,0.470769,0.472615,0.476308,0.482462,0.491077,0.502154,0.556923,0.537231,0.52,0.504,0.491077,0.481231,0.474462,0.470154,0.468308,0.468308,0.469538,0.474462,0.481231,0.491077,0.502154,0.558769,0.539077,0.520615,0.504615,0.491077,0.480615,0.473231,0.468308,0.466462,0.466462,0.468308,0.473846,0.480615,0.491692,0.504,0.563077,0.542154,0.523692,0.507077,0.492923,0.481231,0.473846,0.468308,0.466462,0.466462,0.468923,0.473846,0.482462,0.493538,0.507077,0.569231,0.548308,0.528615,0.511385,0.496615,0.484923,0.476923,0.470769,0.468308,0.468308,0.470769,0.476923,0.485538,0.497231,0.510769,0.577846,0.556308,0.536615,0.518769,0.503385,0.491077,0.482462,0.476308,0.473231,0.473231,0.475692,0.481846,0.491077,0.502769,0.516923,0.588923,0.567385,0.547077,0.529231,0.513231,0.500308,0.491077,0.484308,0.481231,0.481231,0.484308,0.489846,0.499077,0.511385,0.525538,53.0,53.0
4,0.596308,0.579692,0.562462,0.547692,0.534769,0.523077,0.514462,0.506462,0.501538,0.497846,0.496,0.496615,0.498462,0.502154,0.506462,0.588308,0.569231,0.551385,0.536,0.522462,0.511385,0.503385,0.496,0.491692,0.488,0.487385,0.488,0.490462,0.494154,0.500308,0.580308,0.558769,0.540923,0.524923,0.511385,0.501538,0.492923,0.486154,0.481231,0.478154,0.476923,0.478154,0.480615,0.484923,0.492308,0.572308,0.550154,0.531077,0.515077,0.502154,0.491692,0.483077,0.475692,0.470769,0.468308,0.467077,0.467692,0.470769,0.476308,0.484308,0.564923,0.542154,0.522462,0.506462,0.493538,0.483077,0.473846,0.466462,0.461538,0.457846,0.456615,0.457846,0.460923,0.467692,0.476308,0.558769,0.534769,0.515692,0.499077,0.486154,0.474462,0.465231,0.457846,0.452308,0.448615,0.447385,0.448615,0.452923,0.459692,0.470154,0.553231,0.529231,0.509538,0.492923,0.479385,0.467692,0.457846,0.449846,0.444308,0.441231,0.44,0.441231,0.446154,0.453538,0.465846,0.548923,0.524923,0.504615,0.488,0.473846,0.461538,0.451692,0.443692,0.438154,0.435077,0.433846,0.436308,0.441231,0.449846,0.463385,0.546462,0.521231,0.500923,0.483692,0.469538,0.457231,0.446769,0.439385,0.433231,0.430769,0.430154,0.433231,0.438769,0.449231,0.463385,0.545231,0.519385,0.498462,0.480615,0.466462,0.454154,0.443692,0.436308,0.430769,0.428308,0.428923,0.432615,0.44,0.451692,0.467077,0.545846,0.518769,0.497231,0.479385,0.465231,0.452923,0.443077,0.435692,0.430769,0.428923,0.430154,0.435077,0.444308,0.457231,0.474462,0.547692,0.52,0.497846,0.480615,0.465846,0.453538,0.444308,0.437538,0.433846,0.432615,0.435692,0.441846,0.452308,0.467077,0.484923,0.552,0.523692,0.500923,0.483077,0.468923,0.457231,0.448,0.442462,0.439385,0.44,0.444308,0.451692,0.464,0.479385,0.499077,0.558769,0.529231,0.505846,0.488615,0.474462,0.463385,0.455385,0.450462,0.448615,0.451077,0.456615,0.465846,0.478154,0.496,0.517538,0.568615,0.538462,0.514462,0.496615,0.483077,0.472615,0.465846,0.462154,0.461538,0.465231,0.472,0.482462,0.497846,0.516923,0.537846,55.0,53.0
5,0.518769,0.510769,0.502154,0.494769,0.488,0.481846,0.477538,0.474462,0.473231,0.473231,0.474462,0.478154,0.483077,0.489231,0.497231,0.510154,0.500923,0.491692,0.483077,0.475692,0.468923,0.464615,0.460923,0.459692,0.459692,0.461538,0.465846,0.472,0.479385,0.489231,0.503385,0.492308,0.482462,0.472615,0.465231,0.457846,0.452923,0.448615,0.446769,0.446154,0.448615,0.452923,0.459692,0.468923,0.479385,0.498462,0.486154,0.475077,0.464615,0.456615,0.448,0.441846,0.436923,0.434462,0.433846,0.435692,0.440615,0.448,0.457846,0.470769,0.496,0.482462,0.470154,0.458462,0.449231,0.44,0.432615,0.427077,0.423385,0.422769,0.424615,0.430154,0.438154,0.448615,0.462769,0.496,0.480615,0.466462,0.454154,0.443077,0.433846,0.424615,0.418462,0.414154,0.412923,0.415385,0.420923,0.429538,0.441231,0.456,0.497846,0.481846,0.465231,0.451692,0.439385,0.428308,0.418462,0.411077,0.406154,0.404923,0.407385,0.412923,0.422769,0.435692,0.450462,0.501538,0.483692,0.466462,0.450462,0.437538,0.425846,0.414769,0.406154,0.400615,0.398769,0.401846,0.408,0.418462,0.432,0.448,0.506462,0.488,0.469538,0.452308,0.437538,0.424615,0.412923,0.403692,0.398154,0.396308,0.398769,0.405538,0.416,0.430154,0.447385,0.513231,0.493538,0.473846,0.456,0.44,0.425846,0.414154,0.404308,0.398154,0.396308,0.398769,0.405538,0.416615,0.431385,0.449231,0.521846,0.500923,0.480615,0.461538,0.444923,0.429538,0.417846,0.407385,0.401231,0.398769,0.401846,0.408615,0.419692,0.434462,0.452923,0.531077,0.509538,0.488615,0.468923,0.451077,0.435692,0.422769,0.412923,0.406769,0.404308,0.407385,0.414154,0.425231,0.439385,0.459077,0.542769,0.52,0.497846,0.477538,0.459077,0.443077,0.430154,0.420308,0.414154,0.411692,0.414154,0.421538,0.432615,0.447385,0.467692,0.552615,0.530462,0.508308,0.487385,0.468308,0.452308,0.438769,0.428923,0.422769,0.420923,0.423385,0.430154,0.441231,0.456615,0.477538,0.563692,0.539692,0.517538,0.497231,0.478154,0.462154,0.448615,0.438769,0.432615,0.430769,0.433231,0.44,0.451692,0.467692,0.489231,87.0,28.0
6,0.829538,0.818462,0.805538,0.792,0.779077,0.764923,0.750769,0.737231,0.724923,0.714462,0.706462,0.701538,0.700923,0.703385,0.707077,0.826462,0.814154,0.8,0.785846,0.771077,0.755692,0.739692,0.726154,0.713846,0.703385,0.696615,0.696,0.697231,0.700923,0.706462,0.822769,0.809231,0.793846,0.778462,0.761846,0.744615,0.728,0.713846,0.700308,0.691077,0.689231,0.689846,0.692923,0.698462,0.705231,0.818462,0.803692,0.787692,0.770462,0.752,0.732923,0.715692,0.699692,0.686769,0.680615,0.680615,0.683077,0.688,0.695385,0.704,0.814154,0.798154,0.780923,0.761846,0.741538,0.721846,0.702769,0.685538,0.674462,0.672,0.672615,0.676923,0.683692,0.692923,0.704,0.809231,0.792615,0.774154,0.753846,0.732308,0.710769,0.689846,0.672,0.664,0.662769,0.666462,0.671385,0.680615,0.691077,0.703385,0.805538,0.788308,0.769231,0.747077,0.724308,0.700923,0.678154,0.661538,0.656,0.655385,0.660308,0.667077,0.678154,0.690462,0.704,0.802462,0.785231,0.764923,0.742154,0.718154,0.692923,0.668923,0.653538,0.649231,0.649846,0.655385,0.664615,0.678154,0.691077,0.705846,0.8,0.782769,0.762462,0.739692,0.714462,0.686769,0.662769,0.649231,0.644308,0.646769,0.653538,0.665231,0.678769,0.692923,0.709538,0.799385,0.782154,0.761846,0.739077,0.713846,0.685538,0.660923,0.648,0.643692,0.646154,0.654769,0.667692,0.681846,0.697846,0.714462,0.8,0.782769,0.763077,0.740308,0.716308,0.688615,0.664,0.651692,0.647385,0.650462,0.659692,0.673231,0.688,0.704,0.721231,0.801846,0.784615,0.766154,0.744615,0.721846,0.696,0.672,0.660308,0.656,0.659077,0.668308,0.681846,0.697231,0.713231,0.730462,0.805538,0.788923,0.771077,0.751385,0.729846,0.707077,0.685538,0.673846,0.669538,0.672615,0.681231,0.694154,0.708923,0.724923,0.741538,0.811077,0.795077,0.777846,0.759385,0.739692,0.720615,0.701538,0.690462,0.686769,0.689231,0.697846,0.708923,0.723692,0.739692,0.755077,0.819692,0.804308,0.788308,0.771077,0.752615,0.735385,0.720615,0.710769,0.707077,0.710154,0.716923,0.728,0.741538,0.756308,0.770462,86.0,27.0
7,0.791385,0.780923,0.769846,0.759385,0.747692,0.737231,0.725538,0.714462,0.704,0.697231,0.692308,0.689846,0.689231,0.691692,0.697231,0.794462,0.783385,0.771692,0.76,0.748308,0.736615,0.724308,0.712,0.702154,0.695385,0.690462,0.688,0.689231,0.692923,0.699692,0.796308,0.784,0.771692,0.759385,0.746462,0.732923,0.72,0.707692,0.697846,0.690462,0.686769,0.685538,0.688,0.693538,0.701538,0.797538,0.784,0.770462,0.756308,0.742154,0.728,0.713846,0.701538,0.691077,0.684923,0.681231,0.681231,0.684923,0.692923,0.702154,0.797538,0.782769,0.768615,0.753231,0.737231,0.721846,0.707077,0.694154,0.683692,0.676923,0.673846,0.675692,0.682462,0.691692,0.702769,0.796923,0.781538,0.766154,0.749538,0.732308,0.715077,0.699077,0.684923,0.675077,0.668308,0.666462,0.670769,0.679385,0.691077,0.704615,0.796923,0.780923,0.764308,0.746462,0.727385,0.708923,0.691077,0.676923,0.666462,0.659692,0.659692,0.666462,0.678154,0.691692,0.707077,0.797538,0.780923,0.763077,0.744,0.723077,0.702154,0.683692,0.668923,0.658462,0.652923,0.654769,0.665231,0.678769,0.694769,0.710769,0.798769,0.781538,0.763077,0.742154,0.719385,0.697231,0.677538,0.663385,0.652923,0.648615,0.654154,0.665846,0.681846,0.699077,0.716308,0.801231,0.783385,0.763692,0.741538,0.716923,0.693538,0.674462,0.659692,0.650462,0.648615,0.656,0.669538,0.687385,0.705231,0.723077,0.803692,0.785846,0.765538,0.742154,0.716923,0.693538,0.674462,0.660923,0.652308,0.653538,0.662154,0.676308,0.694769,0.713231,0.731692,0.807385,0.788923,0.768615,0.745231,0.719385,0.696,0.677538,0.664615,0.658462,0.662154,0.672615,0.686154,0.704615,0.723077,0.741538,0.811692,0.793231,0.772923,0.749538,0.725538,0.702154,0.684923,0.673231,0.669538,0.675077,0.686769,0.699077,0.716923,0.734154,0.752,0.817231,0.798769,0.778462,0.756308,0.733538,0.712,0.696,0.686154,0.684923,0.692308,0.701538,0.713846,0.730462,0.746462,0.763692,0.823385,0.805538,0.785846,0.764923,0.744,0.724923,0.710769,0.702769,0.704615,0.710769,0.718769,0.729846,0.744615,0.759385,0.775385,96.0,30.0
8,0.352,0.341538,0.332308,0.326769,0.322462,0.32,0.319385,0.319385,0.321846,0.325538,0.331077,0.337846,0.346462,0.355692,0.365538,0.354462,0.343385,0.333538,0.326154,0.321231,0.317538,0.315692,0.315692,0.317538,0.321846,0.327385,0.334154,0.342769,0.352,0.363692,0.355692,0.343385,0.332308,0.323692,0.318154,0.314462,0.312,0.312,0.313231,0.317538,0.323692,0.331692,0.340923,0.351385,0.362462,0.359385,0.345231,0.332308,0.323077,0.316308,0.312,0.308923,0.308308,0.309538,0.313846,0.319385,0.326769,0.335385,0.347077,0.36,0.363077,0.347692,0.333538,0.322462,0.315077,0.309538,0.305846,0.304,0.305231,0.308923,0.315077,0.323077,0.332923,0.345231,0.358769,0.369231,0.351385,0.336,0.323692,0.314462,0.307692,0.303385,0.300923,0.301538,0.304615,0.310154,0.318154,0.328,0.340308,0.355077,0.376,0.356923,0.339692,0.325538,0.315077,0.307077,0.302154,0.298462,0.297846,0.300308,0.305846,0.313231,0.323077,0.336615,0.352615,0.384615,0.364308,0.345231,0.329231,0.316923,0.307692,0.301538,0.297231,0.296,0.297231,0.301538,0.308923,0.318769,0.332308,0.347077,0.395692,0.373538,0.353231,0.335385,0.320615,0.310154,0.302154,0.297231,0.294769,0.295385,0.298462,0.305231,0.315692,0.327385,0.345231,0.408,0.384615,0.362462,0.342769,0.326154,0.313846,0.304615,0.298462,0.294769,0.294154,0.296615,0.302154,0.312,0.324923,0.339077,0.420923,0.397538,0.374154,0.352615,0.334154,0.318769,0.308308,0.300923,0.296,0.294154,0.295385,0.300923,0.309538,0.322462,0.338462,0.436308,0.411692,0.387692,0.364923,0.344615,0.327385,0.313846,0.304615,0.297846,0.295385,0.296,0.300923,0.308923,0.321231,0.336,0.452308,0.428308,0.403077,0.379077,0.356923,0.337846,0.322462,0.310154,0.302769,0.298462,0.298462,0.302154,0.310154,0.321846,0.337231,0.468923,0.445538,0.420923,0.395692,0.372308,0.351385,0.334154,0.319385,0.309538,0.304615,0.303385,0.306462,0.313846,0.324923,0.339692,0.486154,0.464,0.44,0.414769,0.390769,0.368615,0.348923,0.332308,0.320615,0.313846,0.311385,0.313231,0.32,0.331077,0.345846,99.0,45.0
9,0.397538,0.396308,0.396923,0.398769,0.400615,0.403692,0.408,0.411692,0.416615,0.420308,0.425846,0.430769,0.436923,0.442462,0.450462,0.393231,0.390769,0.390154,0.392,0.393231,0.395077,0.397538,0.401846,0.406154,0.410462,0.414769,0.419077,0.424615,0.431385,0.439385,0.389538,0.385846,0.383385,0.383385,0.384615,0.385846,0.387692,0.390154,0.393846,0.396923,0.400615,0.403692,0.408615,0.415385,0.424,0.388923,0.382769,0.378462,0.375385,0.374154,0.374154,0.374769,0.376,0.377846,0.379692,0.383385,0.387077,0.390154,0.398154,0.407385,0.391385,0.382154,0.375385,0.369231,0.365538,0.363077,0.362462,0.361846,0.362462,0.363692,0.366154,0.370462,0.376,0.382769,0.393231,0.396923,0.384615,0.374769,0.366769,0.36,0.355077,0.351385,0.350154,0.348923,0.350154,0.350154,0.353846,0.358769,0.367385,0.378462,0.406154,0.390769,0.377231,0.366769,0.357538,0.349538,0.344,0.340923,0.338462,0.338462,0.340308,0.343385,0.347692,0.355692,0.366769,0.417846,0.4,0.383385,0.369846,0.357538,0.348308,0.340308,0.335385,0.331692,0.331077,0.331077,0.334769,0.340308,0.348308,0.36,0.431385,0.412308,0.393231,0.376,0.362462,0.350154,0.340308,0.332923,0.328615,0.327385,0.328615,0.331692,0.336615,0.345231,0.357538,0.446769,0.427077,0.406769,0.387077,0.369231,0.355692,0.344,0.335385,0.329231,0.326154,0.326769,0.330462,0.336615,0.346462,0.358769,0.464,0.443077,0.422154,0.401231,0.381538,0.364308,0.351385,0.340308,0.333538,0.329846,0.329846,0.333538,0.339692,0.352,0.364308,0.481846,0.461538,0.44,0.418462,0.396923,0.377846,0.361846,0.350154,0.341538,0.337231,0.336615,0.339692,0.346462,0.358154,0.372308,0.500923,0.480615,0.459692,0.437538,0.416,0.395077,0.377231,0.363692,0.354462,0.348923,0.347692,0.350769,0.358769,0.371077,0.387077,0.520615,0.500923,0.480615,0.459692,0.437538,0.416615,0.397538,0.382154,0.371692,0.364923,0.363077,0.366154,0.374154,0.387692,0.402462,0.540308,0.522462,0.502769,0.482462,0.461538,0.440615,0.421538,0.405538,0.393846,0.386462,0.384615,0.387077,0.395077,0.407385,0.424615,102.0,47.0
