,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226
0,0.679385,0.68,0.68,0.68,0.678769,0.678154,0.676923,0.675077,0.673231,0.671385,0.670769,0.673846,0.681231,0.691692,0.702769,0.691077,0.690462,0.689846,0.688,0.686154,0.683692,0.681846,0.679385,0.675692,0.673846,0.672615,0.678154,0.686154,0.696615,0.708308,0.700308,0.699077,0.697231,0.694154,0.691692,0.688,0.684923,0.680615,0.677538,0.674462,0.673846,0.680615,0.688615,0.699692,0.711385,0.707077,0.704615,0.702154,0.699077,0.695385,0.690462,0.686154,0.681231,0.676923,0.673231,0.675077,0.681231,0.690462,0.702154,0.715077,0.712615,0.709538,0.706462,0.702154,0.697846,0.692308,0.686769,0.680615,0.675077,0.672,0.675077,0.681231,0.691692,0.702769,0.716923,0.717538,0.713846,0.709538,0.704615,0.699692,0.692923,0.686769,0.678769,0.674462,0.670769,0.675077,0.680615,0.692308,0.704,0.717538,0.721846,0.717538,0.712615,0.707077,0.700923,0.693538,0.686154,0.677538,0.672,0.668308,0.674462,0.679385,0.691692,0.704,0.718769,0.726769,0.721846,0.716308,0.709538,0.702769,0.694154,0.685538,0.676308,0.669538,0.667692,0.672615,0.678154,0.691077,0.704,0.718154,0.731077,0.726154,0.72,0.712615,0.704615,0.695385,0.685538,0.675692,0.668308,0.666462,0.670769,0.677538,0.690462,0.703385,0.718769,0.736,0.731077,0.724308,0.716308,0.707077,0.697231,0.686154,0.676308,0.667077,0.665846,0.668923,0.676923,0.689231,0.703385,0.719385,0.740923,0.736,0.729231,0.721231,0.710769,0.699692,0.687385,0.676308,0.667077,0.665846,0.668308,0.676923,0.689231,0.703385,0.719385,0.745846,0.740923,0.734769,0.726154,0.715077,0.703385,0.690462,0.678154,0.669538,0.667692,0.669538,0.678154,0.690462,0.705231,0.720615,0.750769,0.746462,0.739692,0.731692,0.720615,0.708308,0.694769,0.682462,0.673846,0.670769,0.672615,0.681231,0.693538,0.707692,0.723692,0.755692,0.751385,0.745231,0.737231,0.727385,0.715077,0.701538,0.688615,0.68,0.676923,0.679385,0.687385,0.699077,0.713231,0.728,0.761231,0.756923,0.751385,0.744,0.734154,0.723077,0.709538,0.698462,0.689846,0.686769,0.688615,0.696,0.707077,0.720615,0.734769,31.0,13.0
1,0.906462,0.909538,0.912,0.915077,0.919385,0.922462,0.924923,0.926154,0.928,0.929231,0.930462,0.930462,0.931692,0.934154,0.936,0.911385,0.914462,0.917538,0.92,0.923077,0.926154,0.927385,0.928,0.928615,0.928615,0.927385,0.927385,0.929231,0.931692,0.934769,0.918769,0.918769,0.922462,0.923077,0.926769,0.928,0.928615,0.928,0.926769,0.925538,0.923692,0.923692,0.926154,0.930462,0.934769,0.920615,0.923077,0.926769,0.927385,0.928615,0.929231,0.928615,0.926769,0.924308,0.921231,0.918769,0.919385,0.923692,0.929231,0.934769,0.923077,0.927385,0.928615,0.929231,0.929231,0.929231,0.927385,0.924308,0.920615,0.916308,0.913846,0.916308,0.922462,0.929231,0.936,0.929231,0.929846,0.929846,0.930462,0.929846,0.928615,0.925538,0.921231,0.916308,0.911385,0.910769,0.914462,0.921846,0.929846,0.936615,0.937231,0.936615,0.933538,0.930462,0.929231,0.926154,0.923077,0.918154,0.912,0.907692,0.908923,0.913846,0.921846,0.930462,0.937231,0.937846,0.937846,0.933538,0.931077,0.929231,0.925538,0.921231,0.915692,0.909538,0.905846,0.908308,0.913846,0.922462,0.931077,0.937231,0.934769,0.940308,0.932923,0.931077,0.928,0.923077,0.918154,0.913231,0.907692,0.906462,0.908923,0.915077,0.923692,0.931692,0.937846,0.937231,0.937846,0.933538,0.930462,0.927385,0.923692,0.918769,0.912,0.907692,0.908308,0.910154,0.916923,0.924923,0.932308,0.938462,0.939692,0.937231,0.934154,0.929231,0.926769,0.92,0.916308,0.910769,0.909538,0.911385,0.912,0.919385,0.926769,0.934154,0.939692,0.940308,0.936,0.934769,0.931077,0.925538,0.920615,0.916923,0.910769,0.911385,0.913846,0.915077,0.921846,0.928615,0.935385,0.939692,0.940923,0.935385,0.933538,0.930462,0.927385,0.92,0.917538,0.912,0.913846,0.916923,0.918154,0.923692,0.930462,0.936,0.940308,0.940308,0.936,0.932308,0.929231,0.926769,0.920615,0.918154,0.915077,0.917538,0.919385,0.920615,0.923077,0.931077,0.936615,0.939692,0.939692,0.934769,0.931692,0.928615,0.926154,0.921231,0.918769,0.917538,0.919385,0.92,0.922462,0.927385,0.929846,0.936,0.940308,32.0,15.0
2,0.887385,0.891692,0.897231,0.900923,0.904,0.907692,0.909538,0.909538,0.909538,0.908308,0.907692,0.905846,0.905231,0.904615,0.901538,0.891077,0.895385,0.900308,0.903385,0.906462,0.909538,0.910154,0.909538,0.909538,0.908923,0.908308,0.907077,0.906462,0.905231,0.901538,0.894154,0.899077,0.903385,0.905846,0.908308,0.909538,0.909538,0.907692,0.906462,0.904615,0.904,0.904,0.904,0.904,0.902154,0.896615,0.900923,0.905231,0.907692,0.908923,0.908308,0.906462,0.903385,0.900308,0.899077,0.899077,0.899077,0.900308,0.901538,0.902154,0.898462,0.902154,0.906462,0.908308,0.908308,0.905846,0.901538,0.896615,0.891692,0.889231,0.889846,0.891692,0.894769,0.897846,0.900923,0.899692,0.903385,0.906462,0.907692,0.906462,0.902154,0.894769,0.884923,0.878154,0.875077,0.877538,0.882462,0.887385,0.892308,0.896615,0.900923,0.904,0.906462,0.907077,0.904,0.897846,0.884308,0.871385,0.862154,0.860923,0.867077,0.875692,0.883692,0.889846,0.894154,0.902769,0.905231,0.905846,0.905846,0.901538,0.891692,0.876308,0.859077,0.849231,0.850462,0.860923,0.873231,0.883692,0.891077,0.894769,0.905231,0.907692,0.905846,0.904615,0.899692,0.889231,0.870154,0.850462,0.842462,0.846154,0.859077,0.875077,0.885538,0.892923,0.896615,0.905846,0.907077,0.906462,0.904615,0.899077,0.889846,0.870154,0.851077,0.844308,0.849846,0.864,0.88,0.889231,0.896615,0.899077,0.910769,0.905231,0.905231,0.904,0.899692,0.892308,0.878154,0.860308,0.855385,0.860923,0.875077,0.886769,0.893538,0.899077,0.901538,0.908308,0.914462,0.909538,0.904615,0.900923,0.894769,0.887385,0.876308,0.873231,0.876308,0.887385,0.892923,0.897846,0.901538,0.902769,0.900308,0.902769,0.905231,0.905846,0.903385,0.897846,0.894769,0.886154,0.883692,0.891077,0.895385,0.897846,0.901538,0.902769,0.904615,0.902154,0.905231,0.907692,0.907077,0.905231,0.902154,0.902154,0.899692,0.899077,0.901538,0.900308,0.901538,0.904,0.903385,0.905231,0.901538,0.905231,0.908308,0.908923,0.908923,0.904,0.902154,0.905231,0.906462,0.904615,0.901538,0.902769,0.902769,0.903385,0.903385,31.0,20.0
3,0.967385,0.966769,0.964308,0.959385,0.953231,0.947077,0.941538,0.937231,0.934769,0.933538,0.932923,0.932308,0.931692,0.930462,0.929231,0.966769,0.965538,0.962462,0.956923,0.950769,0.944,0.938462,0.935385,0.932923,0.931692,0.930462,0.929231,0.928,0.926769,0.926154,0.966769,0.964308,0.960615,0.954462,0.948308,0.941538,0.936,0.932923,0.929846,0.928,0.926154,0.925538,0.924308,0.923692,0.923692,0.966154,0.962462,0.958769,0.952,0.945231,0.938462,0.932923,0.929231,0.926154,0.923692,0.922462,0.921231,0.921231,0.921846,0.921846,0.964923,0.961231,0.956308,0.949538,0.942154,0.934769,0.928615,0.924308,0.920615,0.918154,0.916923,0.916923,0.918154,0.920615,0.922462,0.963692,0.959385,0.954462,0.947077,0.939077,0.931077,0.923692,0.918769,0.913846,0.911385,0.911385,0.913846,0.918154,0.921846,0.924923,0.962462,0.956923,0.952,0.944,0.935385,0.926769,0.918154,0.912,0.907077,0.905231,0.907692,0.912615,0.918154,0.921846,0.925538,0.961231,0.955077,0.949538,0.941538,0.932308,0.922462,0.913231,0.905231,0.901538,0.902154,0.907077,0.912,0.918154,0.922462,0.926154,0.96,0.953846,0.947692,0.939077,0.929231,0.918769,0.908923,0.900923,0.897846,0.901538,0.907692,0.913231,0.918154,0.923077,0.926769,0.958154,0.952615,0.945846,0.938462,0.928615,0.918154,0.906462,0.899077,0.897231,0.902769,0.910154,0.914462,0.919385,0.923692,0.927385,0.956923,0.951385,0.944615,0.936615,0.926769,0.916308,0.906462,0.900308,0.900308,0.905231,0.913231,0.916308,0.92,0.924308,0.928,0.955692,0.950769,0.943385,0.937231,0.928615,0.92,0.910154,0.904,0.905231,0.909538,0.916308,0.917538,0.920615,0.924308,0.928,0.953846,0.950769,0.944615,0.936615,0.929846,0.922462,0.916923,0.909538,0.911385,0.913231,0.918154,0.918769,0.921846,0.924923,0.927385,0.953231,0.948923,0.944,0.937846,0.932308,0.926154,0.919385,0.915692,0.914462,0.915692,0.918154,0.919385,0.922462,0.925538,0.928,0.952,0.947692,0.943385,0.937846,0.934154,0.928615,0.921846,0.921231,0.918769,0.916923,0.922462,0.926154,0.927385,0.927385,0.928615,84.0,11.0
4,0.970462,0.970462,0.969846,0.966769,0.961846,0.955692,0.948308,0.942769,0.938462,0.936,0.935385,0.936615,0.938462,0.939692,0.941538,0.969846,0.969846,0.967385,0.963077,0.956923,0.948923,0.941538,0.935385,0.931692,0.929846,0.930462,0.931692,0.933538,0.935385,0.937231,0.968615,0.968,0.964308,0.959385,0.952,0.943385,0.935385,0.929846,0.926769,0.925538,0.926154,0.928,0.930462,0.932923,0.935385,0.968,0.967385,0.961846,0.955692,0.947077,0.938462,0.930462,0.924923,0.921846,0.921231,0.921846,0.924308,0.928,0.932308,0.936,0.967385,0.964923,0.959385,0.952615,0.943385,0.934154,0.926154,0.92,0.917538,0.916923,0.918154,0.921231,0.926154,0.931077,0.936,0.966769,0.963692,0.957538,0.949538,0.940308,0.930462,0.922462,0.916308,0.913231,0.912615,0.914462,0.917538,0.924308,0.930462,0.935385,0.966154,0.962462,0.955692,0.947077,0.937231,0.927385,0.919385,0.912615,0.910154,0.909538,0.911385,0.916308,0.923077,0.929231,0.935385,0.964308,0.960615,0.954462,0.945846,0.935385,0.925538,0.917538,0.910769,0.907692,0.907077,0.910769,0.916923,0.923692,0.929231,0.934769,0.963692,0.959385,0.952615,0.944615,0.934769,0.924923,0.916308,0.908923,0.906462,0.907692,0.911385,0.917538,0.924923,0.930462,0.935385,0.962462,0.958154,0.952,0.944,0.934769,0.924308,0.916308,0.909538,0.907692,0.909538,0.913846,0.919385,0.927385,0.931077,0.935385,0.962462,0.957538,0.950769,0.944,0.935385,0.925538,0.916923,0.910769,0.908923,0.912,0.916923,0.923077,0.928615,0.933538,0.935385,0.962462,0.956923,0.950769,0.944,0.936,0.926769,0.919385,0.913846,0.911385,0.915077,0.92,0.926769,0.931077,0.934769,0.936,0.962462,0.956923,0.950769,0.944615,0.937231,0.929846,0.921846,0.915077,0.913846,0.919385,0.924308,0.929846,0.932923,0.936,0.936615,0.961846,0.955692,0.950154,0.945231,0.939077,0.932923,0.926154,0.918769,0.917538,0.921846,0.926769,0.932308,0.934154,0.936615,0.937846,0.958769,0.953846,0.949538,0.946462,0.940923,0.935385,0.930462,0.925538,0.924308,0.925538,0.929846,0.935385,0.936,0.936615,0.938462,36.0,19.0
5,0.940308,0.940308,0.940308,0.939692,0.939077,0.939077,0.938462,0.937231,0.936,0.934769,0.934154,0.933538,0.934154,0.936,0.937846,0.938462,0.937846,0.937231,0.936615,0.936615,0.935385,0.934769,0.932923,0.931077,0.929846,0.929231,0.929846,0.932308,0.935385,0.938462,0.936,0.935385,0.934769,0.934154,0.932923,0.931692,0.929231,0.927385,0.925538,0.924923,0.925538,0.927385,0.931077,0.934769,0.939077,0.934154,0.933538,0.932923,0.931692,0.929846,0.927385,0.924923,0.922462,0.921231,0.921846,0.923692,0.926769,0.931077,0.934769,0.939077,0.933538,0.932923,0.931692,0.930462,0.928,0.924923,0.921846,0.92,0.919385,0.92,0.922462,0.926769,0.931077,0.934769,0.939077,0.932308,0.932308,0.931692,0.929846,0.927385,0.924308,0.921231,0.918769,0.918154,0.919385,0.921846,0.926154,0.930462,0.933538,0.937846,0.930462,0.931692,0.931077,0.929231,0.926769,0.923692,0.920615,0.918769,0.918154,0.918769,0.921846,0.926154,0.929846,0.932923,0.937231,0.928615,0.930462,0.931077,0.929846,0.927385,0.924308,0.921231,0.919385,0.918769,0.918769,0.921231,0.925538,0.929231,0.931692,0.936,0.928,0.930462,0.930462,0.929846,0.928,0.924923,0.922462,0.92,0.918769,0.918154,0.920615,0.924923,0.928615,0.929231,0.935385,0.928615,0.931077,0.931077,0.929846,0.928,0.925538,0.923077,0.921231,0.919385,0.918154,0.92,0.923692,0.926769,0.928,0.931692,0.929231,0.932308,0.932923,0.931077,0.928615,0.926769,0.924308,0.921846,0.92,0.917538,0.918769,0.922462,0.925538,0.926769,0.929231,0.929846,0.933538,0.934154,0.932308,0.929846,0.927385,0.924923,0.922462,0.920615,0.917538,0.917538,0.921231,0.924308,0.924923,0.928615,0.929846,0.933538,0.936,0.935385,0.931692,0.928615,0.925538,0.923692,0.921231,0.917538,0.916923,0.92,0.923077,0.923692,0.927385,0.930462,0.934154,0.936615,0.936,0.932923,0.929846,0.926769,0.924308,0.921846,0.918769,0.917538,0.92,0.921846,0.923077,0.926769,0.931692,0.934769,0.937846,0.937231,0.935385,0.932308,0.928,0.925538,0.923077,0.920615,0.919385,0.920615,0.921846,0.924308,0.927385,39.0,17.0
6,0.952615,0.952615,0.953846,0.953846,0.951385,0.948308,0.947077,0.944615,0.940923,0.937231,0.934154,0.932923,0.932308,0.932923,0.933538,0.955077,0.955077,0.954462,0.953846,0.950154,0.945846,0.943385,0.940308,0.936,0.931692,0.929231,0.929231,0.929231,0.930462,0.931692,0.957538,0.956923,0.954462,0.953231,0.947692,0.942154,0.939692,0.935385,0.929231,0.925538,0.923077,0.922462,0.923692,0.925538,0.928615,0.96,0.957538,0.953846,0.951385,0.944,0.938462,0.934154,0.926154,0.92,0.916308,0.914462,0.914462,0.916308,0.92,0.924308,0.96,0.956308,0.953231,0.948923,0.940308,0.934154,0.927385,0.916923,0.910154,0.906462,0.905846,0.907077,0.910769,0.915692,0.920615,0.959385,0.954462,0.951385,0.944615,0.935385,0.928615,0.918154,0.907692,0.901538,0.899077,0.899692,0.902769,0.907077,0.913231,0.918769,0.958154,0.952615,0.948923,0.940923,0.931077,0.922462,0.909538,0.900308,0.896,0.894769,0.896615,0.900308,0.905231,0.912615,0.918769,0.956308,0.950769,0.945846,0.936615,0.927385,0.916308,0.903385,0.896,0.892923,0.892923,0.896,0.900923,0.907077,0.913231,0.919385,0.954462,0.948308,0.942769,0.932923,0.923077,0.912,0.899692,0.895385,0.892308,0.894769,0.898462,0.904,0.909538,0.915692,0.920615,0.951385,0.945846,0.939692,0.929231,0.92,0.907692,0.896,0.893538,0.894769,0.898462,0.903385,0.908923,0.913846,0.919385,0.922462,0.948923,0.943385,0.936615,0.927385,0.918154,0.905231,0.897231,0.896615,0.898462,0.903385,0.908308,0.913846,0.918769,0.922462,0.925538,0.947077,0.942154,0.934769,0.926154,0.917538,0.905846,0.899077,0.900308,0.903385,0.908923,0.913846,0.918154,0.922462,0.926154,0.928615,0.944615,0.940308,0.934154,0.926154,0.918154,0.908308,0.902769,0.905231,0.908923,0.914462,0.918154,0.922462,0.926154,0.929231,0.931077,0.945231,0.939077,0.932308,0.926769,0.920615,0.912615,0.908923,0.912,0.916308,0.92,0.923692,0.926769,0.929846,0.932308,0.933538,0.943385,0.939692,0.934154,0.928615,0.923077,0.917538,0.915077,0.917538,0.921231,0.927385,0.928615,0.930462,0.932308,0.934769,0.936615,40.0,19.0
7,0.942769,0.941538,0.943385,0.945846,0.947692,0.950154,0.952,0.953846,0.955077,0.956308,0.957538,0.957538,0.957538,0.957538,0.956923,0.941538,0.942769,0.944,0.945231,0.946462,0.948923,0.950154,0.952,0.952615,0.953231,0.953846,0.954462,0.954462,0.953846,0.953846,0.942154,0.941538,0.942154,0.943385,0.945231,0.946462,0.947077,0.947692,0.947692,0.948308,0.948923,0.949538,0.949538,0.949538,0.949538,0.940923,0.940923,0.940923,0.941538,0.942154,0.942769,0.942769,0.942154,0.942154,0.942154,0.942154,0.942769,0.942769,0.943385,0.944,0.940923,0.939692,0.939692,0.939692,0.939692,0.938462,0.936615,0.935385,0.934154,0.933538,0.934154,0.935385,0.936615,0.938462,0.940308,0.942154,0.940923,0.939692,0.939077,0.937231,0.934769,0.931692,0.929231,0.928,0.928,0.929231,0.931077,0.933538,0.936,0.939077,0.944,0.942769,0.940923,0.939077,0.936,0.931077,0.927385,0.924308,0.923077,0.923077,0.924923,0.928,0.931077,0.934769,0.938462,0.946462,0.944615,0.942769,0.939692,0.936,0.929846,0.924308,0.920615,0.919385,0.919385,0.921846,0.926154,0.929846,0.934154,0.939077,0.948308,0.946462,0.944615,0.940923,0.936615,0.929846,0.923692,0.919385,0.918154,0.918154,0.920615,0.924923,0.929231,0.934154,0.939077,0.948923,0.948308,0.945846,0.942769,0.937846,0.931692,0.924923,0.920615,0.918769,0.919385,0.921231,0.925538,0.929846,0.934769,0.940308,0.949538,0.948923,0.947077,0.944,0.939692,0.934154,0.927385,0.923077,0.921231,0.921231,0.923077,0.926769,0.931077,0.935385,0.940923,0.949538,0.948923,0.947692,0.945231,0.941538,0.936615,0.931077,0.926769,0.924308,0.924308,0.925538,0.928615,0.931692,0.936615,0.942154,0.949538,0.948923,0.948308,0.946462,0.943385,0.939692,0.934769,0.930462,0.928,0.927385,0.928,0.930462,0.932923,0.937846,0.942769,0.948923,0.948923,0.948308,0.946462,0.944615,0.940923,0.937231,0.933538,0.931077,0.929846,0.930462,0.931692,0.934154,0.938462,0.943385,0.949538,0.948308,0.947692,0.946462,0.945231,0.942154,0.939077,0.936,0.933538,0.932308,0.931692,0.932308,0.934769,0.938462,0.943385,37.0,37.0
8,0.781538,0.788308,0.795077,0.801846,0.808,0.812923,0.816615,0.819077,0.820923,0.822769,0.824,0.824,0.823385,0.822154,0.820308,0.788923,0.795692,0.802462,0.808615,0.813538,0.817846,0.820308,0.822769,0.824,0.825231,0.825846,0.825846,0.825231,0.824615,0.822769,0.795077,0.801846,0.808,0.813538,0.818462,0.821538,0.823385,0.824615,0.825231,0.825231,0.825846,0.825846,0.825231,0.824615,0.823385,0.801231,0.807385,0.812923,0.817846,0.821538,0.823385,0.824615,0.825231,0.824615,0.824615,0.824,0.824,0.823385,0.823385,0.822769,0.807385,0.812923,0.817231,0.820923,0.822769,0.824,0.824615,0.824,0.822769,0.822154,0.821538,0.820923,0.820923,0.820923,0.820308,0.813538,0.817846,0.820923,0.822769,0.823385,0.823385,0.822154,0.820308,0.817846,0.816615,0.816,0.815385,0.816,0.816615,0.817231,0.819692,0.822154,0.823385,0.823385,0.821538,0.819692,0.816615,0.813538,0.810462,0.809231,0.808,0.808615,0.809846,0.811077,0.812923,0.825846,0.826462,0.825846,0.824,0.820308,0.816,0.811692,0.806769,0.802462,0.8,0.799385,0.800615,0.803077,0.806769,0.809846,0.831385,0.830769,0.828308,0.824615,0.819077,0.812308,0.804923,0.798154,0.792615,0.790769,0.791385,0.795077,0.799385,0.804308,0.808615,0.837538,0.835077,0.831385,0.825231,0.817231,0.808615,0.8,0.793231,0.788923,0.789538,0.792615,0.797538,0.803692,0.810462,0.816,0.843077,0.84,0.835077,0.827692,0.819077,0.810462,0.802462,0.796308,0.793846,0.795077,0.799385,0.806154,0.814154,0.821538,0.828923,0.849231,0.846154,0.840615,0.833231,0.825231,0.816615,0.809846,0.804923,0.803692,0.806769,0.812308,0.820308,0.828923,0.837538,0.843692,0.856,0.853538,0.848615,0.843077,0.836308,0.829538,0.825231,0.822769,0.823385,0.826462,0.832615,0.84,0.847385,0.853538,0.859692,0.863385,0.861538,0.857846,0.853538,0.848615,0.845538,0.843077,0.843077,0.844308,0.847385,0.852308,0.857846,0.864,0.870154,0.875077,0.874462,0.872615,0.870154,0.867692,0.864615,0.862769,0.861538,0.862154,0.863385,0.866462,0.870769,0.875692,0.881231,0.886154,0.890462,73.0,51.0
9,0.96,0.956308,0.958154,0.955692,0.954462,0.955692,0.952,0.948308,0.943385,0.939077,0.934154,0.930462,0.926769,0.923692,0.923692,0.961231,0.956308,0.956923,0.956308,0.955692,0.952615,0.947077,0.943385,0.939077,0.934769,0.928,0.923692,0.920615,0.922462,0.923077,0.961846,0.958769,0.957538,0.955692,0.952,0.946462,0.943385,0.939692,0.935385,0.927385,0.920615,0.916308,0.916923,0.918769,0.921231,0.960615,0.957538,0.955692,0.953231,0.947692,0.943385,0.941538,0.936,0.928,0.919385,0.912615,0.909538,0.912615,0.915692,0.918769,0.956923,0.955077,0.952615,0.948923,0.944,0.940308,0.936615,0.930462,0.921846,0.913231,0.907077,0.907077,0.910769,0.912,0.915077,0.952615,0.950769,0.948308,0.945231,0.941538,0.935385,0.929846,0.924923,0.916308,0.908308,0.903385,0.904,0.906462,0.908923,0.912615,0.950769,0.947692,0.944,0.940923,0.937231,0.931692,0.928,0.925538,0.915692,0.908308,0.902154,0.902769,0.905231,0.907077,0.910154,0.946462,0.942154,0.940923,0.937846,0.933538,0.928,0.925538,0.925538,0.912615,0.904615,0.900923,0.901538,0.903385,0.905846,0.909538,0.942154,0.937846,0.935385,0.931692,0.929231,0.924308,0.921846,0.920615,0.912,0.906462,0.901538,0.902154,0.904,0.906462,0.910769,0.936,0.931692,0.928615,0.924923,0.922462,0.919385,0.916308,0.918154,0.912615,0.908308,0.902769,0.903385,0.905846,0.908923,0.913231,0.929846,0.924308,0.919385,0.916308,0.915692,0.916308,0.915692,0.915692,0.913846,0.910769,0.906462,0.907692,0.910769,0.914462,0.918154,0.922462,0.915077,0.910769,0.909538,0.910769,0.913231,0.915692,0.916923,0.916308,0.914462,0.913231,0.914462,0.917538,0.92,0.923077,0.914462,0.907077,0.904,0.904,0.906462,0.910769,0.915077,0.917538,0.918769,0.918154,0.918769,0.92,0.921846,0.924923,0.927385,0.909538,0.902769,0.900308,0.902154,0.905846,0.911385,0.916923,0.92,0.921231,0.921846,0.923692,0.925538,0.927385,0.929846,0.931692,0.908923,0.902769,0.901538,0.904615,0.909538,0.915692,0.92,0.923692,0.926154,0.926154,0.928,0.929231,0.931077,0.932923,0.933538,33.0,16.0
