,map_row,map_col,Day,actual_label,predicted_label,left,right,up,down
0,0,7,100,0,0,-1,-1,-1,-1
1,2,6,116,0,2,-1,0,0,-1
2,0,2,120,0,0,-1,2,-1,-1
3,0,2,120,0,0,-1,2,-1,-1
4,1,9,121,0,0,-1,-1,-1,-1
5,0,4,125,0,2,-1,0,-1,0
6,0,4,127,0,2,-1,0,-1,0
7,0,4,127,0,2,-1,0,-1,0
8,3,1,128,0,0,2,2,-1,2
9,3,1,128,0,0,2,2,-1,2
10,1,5,133,0,0,-1,-1,-1,2
11,2,0,134,0,0,-1,-1,-1,2
12,2,0,134,0,0,-1,-1,-1,2
13,2,0,135,0,0,-1,-1,-1,2
14,2,0,135,0,0,-1,-1,-1,2
15,1,0,136,0,0,-1,-1,2,-1
16,1,4,159,0,0,2,-1,2,2
17,1,8,164,0,0,-1,-1,-1,-1
18,2,8,166,0,0,-1,-1,-1,-1
19,0,6,16,0,0,-1,-1,-1,-1
20,0,1,174,0,0,2,-1,-1,-1
21,0,2,176,0,0,-1,2,-1,-1
22,3,7,179,0,2,-1,0,0,-1
23,0,5,17,0,0,2,-1,-1,-1
24,9,4,180,0,2,-1,3,-1,-1
25,1,1,183,0,0,-1,-1,-1,-1
26,0,0,184,0,2,-1,0,-1,0
27,3,2,189,0,2,0,-1,0,-1
28,2,1,191,0,0,-1,-1,-1,-1
29,2,2,192,0,0,-1,2,-1,2
30,2,1,193,0,0,-1,-1,-1,-1
31,1,1,194,0,0,-1,-1,-1,-1
32,0,1,195,0,0,2,-1,-1,-1
33,1,0,198,0,0,-1,-1,2,-1
34,2,1,199,0,0,-1,-1,-1,-1
35,2,1,200,0,0,-1,-1,-1,-1
36,1,1,201,0,0,-1,-1,-1,-1
37,1,1,201,0,0,-1,-1,-1,-1
38,1,1,202,0,0,-1,-1,-1,-1
39,1,0,203,0,0,-1,-1,2,-1
40,2,2,219,0,0,-1,2,-1,2
41,2,8,228,0,0,-1,-1,-1,-1
42,1,1,252,0,0,-1,-1,-1,-1
43,2,2,254,0,0,-1,2,-1,2
44,2,3,255,0,2,0,-1,-1,-1
45,2,2,258,0,0,-1,2,-1,2
46,1,3,259,0,2,0,0,-1,-1
47,2,3,260,0,2,0,-1,-1,-1
48,2,7,307,0,0,2,-1,-1,2
49,2,7,308,0,0,2,-1,-1,2
50,2,7,309,0,0,2,-1,-1,2
51,1,5,312,0,0,-1,-1,-1,2
52,1,5,313,0,0,-1,-1,-1,2
53,0,6,329,0,0,-1,-1,-1,-1
54,0,6,330,0,0,-1,-1,-1,-1
55,0,8,336,0,0,-1,-1,-1,-1
56,1,9,349,0,0,-1,-1,-1,-1
57,1,6,350,0,0,-1,-1,-1,2
58,1,7,351,0,0,-1,-1,-1,-1
59,1,9,356,0,0,-1,-1,-1,-1
60,2,9,359,0,0,-1,-1,-1,1
61,2,8,360,0,0,-1,-1,-1,-1
62,2,8,361,0,0,-1,-1,-1,-1
63,2,8,362,0,0,-1,-1,-1,-1
64,0,3,363,0,2,0,-1,-1,-1
65,2,8,367,0,0,-1,-1,-1,-1
66,0,7,371,0,0,-1,-1,-1,-1
67,1,9,373,0,0,-1,-1,-1,-1
68,0,7,37,0,0,-1,-1,-1,-1
69,1,7,381,0,0,-1,-1,-1,-1
70,1,9,385,0,0,-1,-1,-1,-1
71,0,7,386,0,0,-1,-1,-1,-1
72,2,8,387,0,0,-1,-1,-1,-1
73,0,7,38,0,0,-1,-1,-1,-1
74,2,9,393,0,0,-1,-1,-1,1
75,1,9,394,0,0,-1,-1,-1,-1
76,0,9,396,0,0,-1,-1,-1,-1
77,0,8,397,0,0,-1,-1,-1,-1
78,0,9,398,0,0,-1,-1,-1,-1
79,1,9,41,0,0,-1,-1,-1,-1
80,1,8,42,0,0,-1,-1,-1,-1
81,1,6,432,0,0,-1,-1,-1,2
82,0,5,433,0,0,2,-1,-1,-1
83,0,5,433,0,0,2,-1,-1,-1
84,0,5,433,0,0,2,-1,-1,-1
85,2,8,43,0,0,-1,-1,-1,-1
86,0,7,443,0,0,-1,-1,-1,-1
87,0,8,444,0,0,-1,-1,-1,-1
88,0,9,445,0,0,-1,-1,-1,-1
89,0,9,447,0,0,-1,-1,-1,-1
90,0,9,448,0,0,-1,-1,-1,-1
91,0,9,449,0,0,-1,-1,-1,-1
92,1,9,450,0,0,-1,-1,-1,-1
93,1,9,450,0,0,-1,-1,-1,-1
94,1,9,451,0,0,-1,-1,-1,-1
95,1,9,451,0,0,-1,-1,-1,-1
96,0,6,454,0,0,-1,-1,-1,-1
97,0,3,454,0,2,0,-1,-1,-1
98,0,6,455,0,0,-1,-1,-1,-1
99,0,8,456,0,0,-1,-1,-1,-1
100,0,6,457,0,0,-1,-1,-1,-1
101,2,7,470,0,0,2,-1,-1,2
102,1,7,477,0,0,-1,-1,-1,-1
103,0,8,478,0,0,-1,-1,-1,-1
104,0,8,480,0,0,-1,-1,-1,-1
105,0,8,480,0,0,-1,-1,-1,-1
106,0,8,481,0,0,-1,-1,-1,-1
107,0,8,481,0,0,-1,-1,-1,-1
108,0,9,482,0,0,-1,-1,-1,-1
109,0,9,482,0,0,-1,-1,-1,-1
110,0,2,483,0,0,-1,2,-1,-1
111,0,2,483,0,0,-1,2,-1,-1
112,0,9,484,0,0,-1,-1,-1,-1
113,0,9,485,0,0,-1,-1,-1,-1
114,1,2,486,0,0,-1,2,-1,-1
115,1,2,487,0,0,-1,2,-1,-1
116,1,2,487,0,0,-1,2,-1,-1
117,1,2,488,0,0,-1,2,-1,-1
118,1,2,488,0,0,-1,2,-1,-1
119,1,9,489,0,0,-1,-1,-1,-1
120,1,9,497,0,0,-1,-1,-1,-1
121,2,7,499,0,0,2,-1,-1,2
122,1,6,503,0,0,-1,-1,-1,2
123,1,6,506,0,0,-1,-1,-1,2
124,1,5,506,0,0,-1,-1,-1,2
125,1,7,507,0,0,-1,-1,-1,-1
126,1,7,508,0,0,-1,-1,-1,-1
127,1,7,509,0,0,-1,-1,-1,-1
128,1,7,510,0,0,-1,-1,-1,-1
129,1,7,511,0,0,-1,-1,-1,-1
130,1,7,512,0,0,-1,-1,-1,-1
131,0,0,515,0,2,-1,0,-1,0
132,2,3,519,0,2,0,-1,-1,-1
133,1,3,521,0,2,0,0,-1,-1
134,2,2,527,0,0,-1,2,-1,2
135,1,5,528,0,0,-1,-1,-1,2
136,1,5,529,0,0,-1,-1,-1,2
137,1,5,530,0,0,-1,-1,-1,2
138,1,4,531,0,0,2,-1,2,2
139,2,7,532,0,0,2,-1,-1,2
140,0,2,541,0,0,-1,2,-1,-1
141,1,1,542,0,0,-1,-1,-1,-1
142,1,4,546,0,0,2,-1,2,2
143,1,1,547,0,0,-1,-1,-1,-1
144,2,9,549,0,0,-1,-1,-1,1
145,1,1,553,0,0,-1,-1,-1,-1
146,0,1,556,0,0,2,-1,-1,-1
147,0,1,557,0,0,2,-1,-1,-1
148,1,1,570,0,0,-1,-1,-1,-1
149,1,1,571,0,0,-1,-1,-1,-1
150,2,2,571,0,0,-1,2,-1,2
151,3,0,575,0,2,-1,0,0,-1
152,0,0,578,0,2,-1,0,-1,0
153,1,0,595,0,0,-1,-1,2,-1
154,9,4,606,0,2,-1,3,-1,-1
155,2,1,607,0,0,-1,-1,-1,-1
156,1,3,610,0,2,0,0,-1,-1
157,1,3,611,0,2,0,0,-1,-1
158,2,1,612,0,0,-1,-1,-1,-1
159,1,0,613,0,0,-1,-1,2,-1
160,1,2,616,0,0,-1,2,-1,-1
161,3,8,636,0,0,2,1,-1,1
162,0,0,651,0,2,-1,0,-1,0
163,1,7,655,0,0,-1,-1,-1,-1
164,1,6,656,0,0,-1,-1,-1,2
165,0,3,656,0,2,0,-1,-1,-1
166,0,1,658,0,0,2,-1,-1,-1
167,1,8,665,0,0,-1,-1,-1,-1
168,1,9,680,0,0,-1,-1,-1,-1
169,1,9,692,0,0,-1,-1,-1,-1
170,0,8,696,0,0,-1,-1,-1,-1
171,2,9,722,0,0,-1,-1,-1,1
172,2,9,723,0,0,-1,-1,-1,1
173,0,7,90,0,0,-1,-1,-1,-1
174,0,6,94,0,0,-1,-1,-1,-1
175,0,6,95,0,0,-1,-1,-1,-1
176,0,6,96,0,0,-1,-1,-1,-1
177,0,6,99,0,0,-1,-1,-1,-1
178,3,6,107,2,2,-1,-1,-1,-1
179,3,6,108,2,2,-1,-1,-1,-1
180,3,7,113,2,2,-1,0,0,-1
181,3,7,114,2,2,-1,0,0,-1
182,0,4,115,2,2,-1,0,-1,0
183,5,2,116,2,2,-1,-1,-1,-1
184,4,4,117,2,2,-1,-1,-1,-1
185,0,2,123,2,0,-1,2,-1,-1
186,3,0,124,2,2,-1,0,0,-1
187,0,2,124,2,0,-1,2,-1,-1
188,0,4,125,2,2,-1,0,-1,0
189,0,4,125,2,2,-1,0,-1,0
190,0,4,126,2,2,-1,0,-1,0
191,0,4,126,2,2,-1,0,-1,0
192,4,0,128,2,2,-1,-1,-1,-1
193,4,3,134,2,2,-1,-1,-1,-1
194,0,0,141,2,2,-1,0,-1,0
195,2,7,142,2,0,2,-1,-1,2
196,1,4,143,2,0,2,-1,2,2
197,1,2,145,2,0,-1,2,-1,-1
198,3,1,146,2,0,2,2,-1,2
199,2,5,147,2,2,-1,-1,0,-1
200,3,7,148,2,2,-1,0,0,-1
201,2,4,149,2,2,-1,-1,0,-1
202,2,4,149,2,2,-1,-1,0,-1
203,2,4,149,2,2,-1,-1,0,-1
204,2,4,150,2,2,-1,-1,0,-1
205,2,4,150,2,2,-1,-1,0,-1
206,2,4,150,2,2,-1,-1,0,-1
207,3,0,151,2,2,-1,0,0,-1
208,3,0,151,2,2,-1,0,0,-1
209,3,0,152,2,2,-1,0,0,-1
210,3,2,153,2,2,0,-1,0,-1
211,3,2,153,2,2,0,-1,0,-1
212,2,2,154,2,0,-1,2,-1,2
213,2,2,154,2,0,-1,2,-1,2
214,3,0,155,2,2,-1,0,0,-1
215,3,0,155,2,2,-1,0,0,-1
216,3,0,155,2,2,-1,0,0,-1
217,2,3,156,2,2,0,-1,-1,-1
218,2,4,168,2,2,-1,-1,0,-1
