,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,label
0,1.374441,1.291964,1.24512,1.212331,1.138126,1.13682,1.148102,1.129248,1.118747,1.119136,1.119539,1.115875,1.11337,1.106382,1.06131,1.238102,1.228691,1.128856,1.05059,1.037322,0.992935,0.963708,0.949346,0.941378,0.942744,0.943459,0.939055,0.935327,0.881952,0.833138,1.033594,0.9756,0.954461,0.888848,0.835715,0.801089,0.779314,0.769445,0.764008,0.722254,0.723358,0.718031,0.668263,0.657521,0.559331,0.760917,0.722508,0.663802,0.61928,0.583707,0.561281,0.548821,0.544567,0.542296,0.501764,0.503257,0.497006,0.445709,0.388204,0.285524,0.48824,0.469416,0.373143,0.349711,0.331698,0.321473,0.318329,0.31969,0.276241,0.281274,0.239136,0.231777,0.178644,0.118888,0.011717,0.147393,0.153052,0.140616,0.080142,0.079689,0.081664,0.041738,0.049838,0.010187,-0.027412,-0.069005,-0.077657,-0.132931,-0.195315,-0.26209,-0.193454,-0.163312,-0.150043,-0.189427,-0.222721,-0.254067,-0.280952,-0.309966,-0.344553,-0.380196,-0.377146,-0.431296,-0.489017,-0.509518,-0.535897,-0.466131,-0.479677,-0.498833,-0.512909,-0.575533,-0.589798,-0.64974,-0.669769,-0.699292,-0.732981,-0.729307,-0.784936,-0.845103,-0.868607,-0.900973,-0.806977,-0.859314,-0.847624,-0.890305,-0.928346,-0.92553,-0.972429,-0.984597,-1.009689,-1.041667,-1.081468,-1.09437,-1.156678,-1.18281,-1.220414,-1.147824,-1.175679,-1.196415,-1.213788,-1.230756,-1.261261,-1.24902,-1.299425,-1.320086,-1.306255,-1.345589,-1.359599,-1.423742,-1.452127,-1.494221,-1.488671,-1.555316,-1.545205,-1.537271,-1.533166,-1.549031,-1.525612,-1.524303,-1.541798,-1.526745,-1.56569,-1.580624,-1.601785,-1.631671,-1.676759,-1.829517,-1.808408,-1.835864,-1.806839,-1.785175,-1.740878,-1.710006,-1.704204,-1.719167,-1.703137,-1.74177,-1.757443,-1.779828,-1.811216,-1.859297,-2.034025,-2.061499,-2.010259,-1.968581,-1.93638,-1.884763,-1.848301,-1.839131,-1.807852,-1.835431,-1.82981,-1.845853,-1.86885,-1.856102,-1.904931,-2.170364,-2.188045,-2.126523,-2.076408,-1.986782,-1.932724,-1.8944,-1.884106,-1.852195,-1.835431,-1.82981,-1.845853,-1.824339,-1.811216,-1.813662,-2.238533,-2.188045,-2.126523,-2.076408,-1.986782,-1.932724,-1.848301,-1.839131,-1.807852,-1.747235,-1.74177,-1.713238,-1.690807,-1.676557,-1.631124,COH
1,-0.25474,-0.234022,-0.152927,-0.131922,-0.112772,-0.094537,-0.081385,-0.118637,-0.106944,-0.094719,-0.143063,-0.13613,-0.130181,-0.179057,-0.181079,-0.378758,-0.292926,-0.265529,-0.239793,-0.217742,-0.196665,-0.18176,-0.168237,-0.156405,-0.14408,-0.193,-0.186752,-0.233767,-0.232702,-0.293212,-0.440767,-0.410733,-0.378132,-0.347663,-0.270227,-0.247729,-0.18176,-0.168237,-0.156405,-0.14408,-0.193,-0.237373,-0.233767,-0.286346,-0.349278,-0.440767,-0.410733,-0.378132,-0.347663,-0.322712,-0.247729,-0.231947,-0.217837,-0.205867,-0.242802,-0.242937,-0.287994,-0.285559,-0.339991,-0.405345,-0.502776,-0.469636,-0.434433,-0.401598,-0.322712,-0.298793,-0.282134,-0.317036,-0.30479,-0.292163,-0.342811,-0.338616,-0.389144,-0.44728,-0.461411,-0.564786,-0.469636,-0.434433,-0.401598,-0.375197,-0.349857,-0.382509,-0.366636,-0.403713,-0.390885,-0.392748,-0.439858,-0.440937,-0.500925,-0.573544,-0.564786,-0.52854,-0.490734,-0.455533,-0.427682,-0.400921,-0.432696,-0.465836,-0.453174,-0.489606,-0.492622,-0.490479,-0.544522,-0.55457,-0.62961,-0.626795,-0.587443,-0.547036,-0.509469,-0.480167,-0.503049,-0.533071,-0.515435,-0.552097,-0.538967,-0.592497,-0.591722,-0.596315,-0.661859,-0.685677,-0.626795,-0.587443,-0.603337,-0.563404,-0.585137,-0.605177,-0.633446,-0.614635,-0.601559,-0.637689,-0.642434,-0.642343,-0.6999,-0.715504,-0.741743,-0.688804,-0.646347,-0.659638,-0.671274,-0.690108,-0.707305,-0.733821,-0.713834,-0.700482,-0.736411,-0.742308,-0.743586,-0.751693,-0.769148,-0.797809,-0.750813,-0.764154,-0.772241,-0.779144,-0.795078,-0.809433,-0.834195,-0.813034,-0.848866,-0.835132,-0.842182,-0.844829,-0.855278,-0.876437,-0.909942,-0.874831,-0.881961,-0.884844,-0.887015,-0.900048,-0.911561,-0.93457,-0.961833,-0.947789,-0.933854,-0.942056,-0.946071,-0.958863,-0.983727,-0.966009,-0.998849,-1.058672,-1.053748,-1.04882,-1.057503,-1.064753,-1.085132,-1.110632,-1.096173,-1.081937,-1.091867,-1.047314,-1.062448,-1.091016,-1.078141,-1.184876,-1.235382,-1.222652,-1.210626,-1.267443,-1.269009,-1.235694,-1.259432,-1.244558,-1.230019,-1.241679,-1.199178,-1.217826,-1.198305,-1.190274,-1.370904,-1.353189,-1.391555,-1.426366,-1.424898,-1.4222,-1.436444,-1.457831,-1.442404,-1.427462,-1.39149,-1.351042,-1.321411,-1.305595,-1.302407,COH
2,-0.036431,-0.022158,0.055846,0.141944,0.230515,0.243481,0.315565,0.317544,0.320528,0.316603,0.312437,0.301408,0.208112,0.186044,0.089476,0.147381,0.160029,0.238167,0.325151,0.354125,0.431819,0.44458,0.516681,0.525591,0.528947,0.459233,0.452623,0.36367,0.263825,0.245269,0.331193,0.342215,0.359715,0.38622,0.477734,0.494598,0.509088,0.516681,0.525591,0.528947,0.532631,0.452623,0.441449,0.341606,0.245269,0.392463,0.342215,0.359715,0.38622,0.415929,0.431819,0.44458,0.450302,0.457237,0.458166,0.385835,0.377016,0.285891,0.263825,0.167372,0.269922,0.220757,0.177393,0.203013,0.230515,0.243481,0.251057,0.251164,0.252173,0.245822,0.239039,0.150193,0.130333,0.030482,0.011579,0.147381,0.0993,0.055846,0.019806,0.045101,0.117923,0.122042,0.052027,0.047109,0.033478,-0.054553,-0.076629,-0.180784,-0.202861,-0.300007,-0.036431,-0.082887,-0.126475,-0.163401,-0.078509,-0.070414,-0.071482,-0.147111,-0.226309,-0.249648,-0.348144,-0.379059,-0.491901,-0.513985,-0.611594,-0.342784,-0.386531,-0.430343,-0.346608,-0.325728,-0.321531,-0.329512,-0.412627,-0.431373,-0.532773,-0.641736,-0.68149,-0.803017,-0.825109,-0.92318,-0.710408,-0.690175,-0.673438,-0.651953,-0.634752,-0.635427,-0.652051,-0.678144,-0.704791,-0.815899,-0.86193,-0.98392,-1.036355,-1.136233,-1.234766,-1.016761,-0.993819,-0.977307,-0.957298,-0.943775,-0.949323,-0.97459,-1.01004,-0.97821,-1.028243,-1.155521,-1.210742,-1.269692,-1.369577,-1.390559,-1.323114,-1.297463,-1.281175,-1.262643,-1.252799,-1.263218,-1.297128,-1.275556,-1.251628,-1.240587,-1.302317,-1.361957,-1.425251,-1.525139,-1.546353,-1.690738,-1.661835,-1.645817,-1.629057,-1.561823,-1.577114,-1.555159,-1.541073,-1.456692,-1.452931,-1.449113,-1.513172,-1.580809,-1.60292,-1.624249,-2.058362,-2.026208,-2.010459,-1.934402,-1.870847,-1.828231,-1.81319,-1.740211,-1.73011,-1.665276,-1.669307,-1.664387,-1.658588,-1.680701,-1.702146,-2.364715,-2.329852,-2.314328,-2.239747,-2.179871,-2.079347,-2.071221,-2.005727,-1.935174,-1.87762,-1.816103,-1.739995,-1.658588,-1.680701,-1.702146,-2.487256,-2.45131,-2.496649,-2.422954,-2.365285,-2.330464,-2.264744,-2.204865,-2.140238,-2.019182,-1.889501,-1.815602,-1.736367,-1.60292,-1.624249,COH
3,0.46576,0.523491,0.502056,0.557125,0.542965,0.554791,0.508727,0.518817,0.471515,0.465769,0.395821,0.331518,0.271423,0.268312,0.208362,0.394401,0.523491,0.569117,0.557125,0.542965,0.554791,0.573746,0.584,0.53601,0.465769,0.395821,0.331518,0.330324,0.268312,0.208362,0.323042,0.38514,0.502056,0.491476,0.542965,0.554791,0.573746,0.584,0.53601,0.528209,0.456844,0.391499,0.330324,0.268312,0.266328,0.108967,0.177613,0.300871,0.360179,0.414185,0.426295,0.508727,0.518817,0.53601,0.528209,0.456844,0.45148,0.389226,0.384423,0.324293,-0.176468,-0.099089,0.032625,0.097586,0.156625,0.169302,0.248653,0.32327,0.342524,0.340889,0.395821,0.391499,0.389226,0.326367,0.324293,-0.533261,-0.375792,-0.302683,-0.230657,-0.165326,-0.08769,-0.076441,-0.002643,0.084541,0.091129,0.151732,0.211555,0.212522,0.210256,0.266328,-0.818696,-0.721669,-0.637991,-0.558899,-0.487276,-0.40893,-0.336516,-0.328555,-0.237936,-0.158632,-0.092358,-0.088351,-0.023083,0.036089,0.092431,-1.175489,-0.998372,-0.906237,-0.821493,-0.809227,-0.730171,-0.661609,-0.654467,-0.560414,-0.470832,-0.397471,-0.328275,-0.258688,-0.196134,-0.197396,-1.389565,-1.275074,-1.174484,-1.084087,-1.066787,-0.987163,-0.986703,-0.915197,-0.818396,-0.783032,-0.702583,-0.688163,-0.612095,-0.544469,-0.545189,-1.674999,-1.551776,-1.44273,-1.346681,-1.324348,-1.244156,-1.246778,-1.175927,-1.140874,-1.095233,-1.007695,-0.988069,-0.965502,-0.892803,-0.892982,-1.817716,-1.759303,-1.710976,-1.609274,-1.517518,-1.501148,-1.441834,-1.436656,-1.398856,-1.344993,-1.312808,-1.287975,-1.260008,-1.241137,-1.240774,-1.960434,-1.897654,-1.845099,-1.80622,-1.710688,-1.693892,-1.701909,-1.632204,-1.592343,-1.532313,-1.556898,-1.527899,-1.495613,-1.47336,-1.472636,-2.031792,-2.036005,-1.979222,-1.937517,-1.903859,-1.886637,-1.896965,-1.827751,-1.785829,-1.719633,-1.739965,-1.707843,-1.672317,-1.647528,-1.646533,-2.031792,-2.036005,-2.046284,-2.003165,-1.968249,-1.950885,-2.027002,-2.023299,-1.979316,-1.906954,-1.86201,-1.827805,-1.790119,-1.763639,-1.762464,-1.960434,-2.036005,-2.046284,-2.003165,-1.968249,-2.015133,-2.027002,-2.023299,-1.979316,-1.906954,-1.86201,-1.827805,-1.790119,-1.763639,-1.762464,COH
4,0.996332,1.138886,1.168866,1.100835,1.04591,0.996926,0.93508,0.873611,0.81013,0.745336,0.61537,0.562025,0.531008,0.452982,0.40032,0.906419,0.962941,0.913715,0.855714,0.806537,0.680984,0.546339,0.420476,0.376759,0.2681,0.227267,0.197202,0.1848,0.176409,0.131014,0.63668,0.611051,0.573514,0.528887,0.407581,0.286056,0.157598,0.042864,-0.056611,-0.072783,-0.096151,-0.106818,-0.103706,-0.155479,-0.192154,0.366942,0.347134,0.318364,0.202059,0.088417,-0.108872,-0.231143,-0.259226,-0.345525,-0.345489,-0.290203,-0.350033,-0.334512,-0.432052,-0.46146,0.097203,0.083217,-0.021837,-0.124769,-0.230747,-0.345829,-0.464388,-0.485793,-0.489982,-0.413666,-0.484254,-0.471641,-0.565317,-0.65331,-0.730766,-0.172536,-0.1807,-0.276988,-0.369889,-0.390329,-0.5038,-0.619885,-0.636838,-0.634439,-0.618196,-0.613621,-0.714856,-0.738421,-0.819254,-0.89235,-0.442274,-0.53259,-0.532139,-0.61501,-0.629702,-0.661771,-0.697633,-0.712361,-0.778896,-0.754549,-0.872356,-0.897268,-0.969226,-1.040512,-1.107795,-0.801926,-0.796507,-0.787289,-0.860131,-0.869076,-0.898728,-0.930878,-0.863406,-0.923353,-0.959079,-1.001724,-1.07968,-1.084628,-1.151141,-1.269378,-1.071664,-1.060424,-1.04244,-1.105252,-1.108449,-1.135684,-1.086374,-1.089973,-1.06781,-1.095432,-1.131091,-1.201288,-1.257732,-1.317085,-1.430962,-1.25149,-1.324341,-1.297591,-1.268666,-1.347822,-1.293656,-1.319619,-1.31654,-1.284495,-1.299962,-1.325142,-1.383699,-1.430836,-1.538343,-1.646407,-1.431316,-1.500286,-1.467691,-1.513786,-1.507404,-1.530612,-1.552864,-1.467585,-1.50118,-1.504492,-1.519194,-1.566111,-1.60394,-1.704287,-1.807991,-1.611142,-1.588258,-1.637791,-1.595493,-1.666986,-1.609598,-1.630612,-1.694153,-1.717866,-1.640845,-1.713245,-1.687719,-1.777044,-1.870231,-1.915713,-1.611142,-1.676231,-1.722842,-1.6772,-1.666986,-1.688584,-1.786108,-1.769675,-1.790094,-1.777198,-1.842612,-1.87013,-1.892447,-1.98086,-2.023435,-1.611142,-1.676231,-1.722842,-1.6772,-1.746777,-1.767569,-1.786108,-1.845198,-1.862322,-1.913551,-1.907296,-1.991738,-2.007849,-2.036175,-2.023435,-1.431316,-1.588258,-1.637791,-1.6772,-1.666986,-1.688584,-1.70836,-1.769675,-1.862322,-1.913551,-1.97198,-1.991738,-2.007849,-1.98086,-1.969574,COH
5,0.478813,0.480293,0.488277,0.561019,0.569989,0.645757,0.641065,0.696479,0.666907,0.625025,0.585222,0.545419,0.440675,0.394224,0.307725,0.478813,0.480293,0.556839,0.561019,0.637692,0.645757,0.708163,0.763327,0.733508,0.691005,0.650345,0.609586,0.503629,0.455127,0.367493,0.408927,0.480293,0.556839,0.561019,0.637692,0.713347,0.775262,0.830174,0.800109,0.756985,0.650345,0.545419,0.440675,0.333321,0.188189,0.408927,0.480293,0.556839,0.629526,0.705396,0.780937,0.842361,0.830174,0.800109,0.691005,0.5201,0.417085,0.251814,0.089709,0.008884,0.408927,0.480293,0.556839,0.629526,0.705396,0.780937,0.775262,0.696479,0.600307,0.427086,0.25961,0.09625,0.0,-0.153904,-0.289956,0.339041,0.480293,0.556839,0.629526,0.637692,0.645757,0.573966,0.429089,0.333904,0.163166,-0.00088,-0.160417,-0.314768,-0.458419,-0.588797,0.339041,0.411011,0.488277,0.492512,0.434582,0.375398,0.238472,0.161699,0.0009,-0.166733,-0.326492,-0.481252,-0.629536,-0.762935,-0.887637,0.269155,0.272447,0.282589,0.218483,0.163769,0.037448,-0.097021,-0.239387,-0.398704,-0.496632,-0.652105,-0.802087,-0.944304,-1.006548,-1.12671,0.059498,0.064601,0.008339,-0.055546,-0.174748,-0.300501,-0.432515,-0.506777,-0.665107,-0.826531,-0.912594,-1.058755,-1.196118,-1.25016,-1.365782,-0.15016,-0.212527,-0.265912,-0.398083,-0.445561,-0.57086,-0.700909,-0.774167,-0.93151,-1.024471,-1.173084,-1.251256,-1.384979,-1.493773,-1.604855,-0.429704,-0.489656,-0.540162,-0.672112,-0.716375,-0.77363,-0.902205,-0.97471,-1.131312,-1.22241,-1.368452,-1.443757,-1.57384,-1.737385,-1.843927,-0.709248,-0.766784,-0.814412,-0.877633,-0.919485,-0.976399,-1.036403,-1.175252,-1.264514,-1.42035,-1.498696,-1.636258,-1.7627,-1.920094,-2.023231,-0.988792,-1.043912,-1.088663,-1.083155,-1.122595,-1.179169,-1.237699,-1.308947,-1.397715,-1.552309,-1.694064,-1.828759,-1.951561,-2.102804,-2.202536,-1.268336,-1.251758,-1.294351,-1.288677,-1.325705,-1.381938,-1.438995,-1.50949,-1.597517,-1.684269,-1.824309,-1.957093,-2.077468,-2.163707,-2.202536,-1.477994,-1.528886,-1.500038,-1.494199,-1.528815,-1.584708,-1.573192,-1.643185,-1.730719,-1.816229,-1.954554,-2.085427,-2.140422,-2.163707,-2.083,COH
6,0.888247,0.894937,0.919649,0.945572,1.030494,1.120408,1.173611,1.226804,1.328163,1.376265,1.371903,1.41164,1.461206,1.460954,1.515642,0.654664,0.708518,0.731914,0.80364,0.886795,0.97546,1.075089,1.176702,1.225997,1.272131,1.26571,1.303948,1.296123,1.347749,1.340851,0.514514,0.568704,0.638046,0.756329,0.838895,0.927144,1.025828,1.0765,1.12383,1.167996,1.212613,1.196256,1.186068,1.177942,1.16606,0.374364,0.475494,0.591113,0.661708,0.743095,0.830512,0.927306,0.976297,1.021664,1.063862,1.053323,1.034717,1.020985,1.008134,0.991269,0.280931,0.33568,0.403377,0.472466,0.503596,0.588932,0.63174,0.725791,0.766248,0.803525,0.840936,0.873179,0.855902,0.838327,0.816478,0.047348,0.056052,0.121774,0.141292,0.168297,0.250721,0.286912,0.375082,0.408666,0.491121,0.522356,0.603949,0.635792,0.611918,0.583424,-0.279668,-0.270182,-0.206763,-0.189882,-0.167002,-0.135807,-0.057915,-0.025728,0.051083,0.12665,0.203776,0.280873,0.305626,0.385508,0.350369,-0.606685,-0.596415,-0.582233,-0.568366,-0.502301,-0.474019,-0.402742,-0.326335,-0.306499,-0.237821,-0.1679,-0.09605,-0.024539,0.045894,0.117315,-0.980417,-0.969253,-0.957704,-0.89954,-0.8376,-0.763915,-0.698309,-0.626943,-0.561915,-0.498157,-0.433384,-0.36528,-0.299677,-0.237118,-0.174004,-1.35415,-1.34209,-1.286241,-1.230714,-1.124999,-1.05381,-0.993875,-0.92755,-0.868414,-0.810561,-0.751964,-0.63451,-0.574815,-0.52013,-0.465322,-1.63445,-1.668324,-1.614778,-1.561887,-1.460298,-1.343706,-1.24018,-1.178056,-1.12383,-1.01883,-0.96435,-0.903741,-0.849953,-0.74654,-0.698376,-1.868033,-1.901347,-1.896381,-1.845751,-1.747698,-1.633602,-1.535746,-1.378461,-1.328163,-1.2271,-1.176737,-1.119125,-1.070064,-1.029552,-0.931431,-2.008183,-2.041161,-2.084116,-2.082303,-2.035097,-1.923498,-1.782051,-1.628968,-1.532496,-1.435369,-1.389124,-1.280663,-1.235146,-1.199359,-1.164486,-2.008183,-2.041161,-2.13105,-2.176924,-2.178796,-2.116762,-2.028357,-1.879474,-1.736829,-1.643638,-1.548414,-1.496047,-1.455257,-1.369166,-1.339277,-1.914749,-1.947952,-2.037182,-2.129614,-2.226696,-2.26171,-2.17614,-2.079879,-1.941161,-1.851907,-1.7608,-1.657585,-1.620339,-1.595575,-1.514068,COH
7,1.588807,1.550975,1.425629,1.350885,1.268134,1.196131,1.091153,1.042908,0.994884,0.958138,0.888945,0.87789,0.8129,0.759461,0.763678,1.225033,1.126417,1.089224,1.035934,0.972662,0.918136,0.879916,0.841669,0.799861,0.766251,0.746663,0.735113,0.716729,0.660951,0.661486,0.788504,0.772619,0.752819,0.720983,0.67719,0.69574,0.668679,0.64043,0.653593,0.622336,0.60438,0.592335,0.572474,0.562441,0.508198,0.351976,0.348061,0.349134,0.406032,0.381718,0.417744,0.457442,0.439191,0.458569,0.430449,0.41467,0.449557,0.428218,0.414675,0.406006,-0.011798,-0.005737,0.08001,0.09108,0.14534,0.195348,0.246205,0.237952,0.263546,0.238562,0.22496,0.259187,0.235877,0.217654,0.201622,-0.375572,-0.288776,-0.189114,-0.09789,-0.031943,-0.027048,0.034968,0.036713,0.019766,0.046675,0.03525,0.021224,0.043537,0.020634,0.048334,-0.666591,-0.571815,-0.458238,-0.349851,-0.327415,-0.305044,-0.229078,-0.214836,-0.224014,-0.193183,-0.201887,-0.169147,-0.196889,-0.176387,-0.207146,-0.884855,-0.784094,-0.727362,-0.601812,-0.563793,-0.52744,-0.493124,-0.466385,-0.419037,-0.433042,-0.391597,-0.40711,-0.38923,-0.422662,-0.41153,-1.030365,-0.996373,-0.929205,-0.853773,-0.80017,-0.694237,-0.651552,-0.617315,-0.614061,-0.624929,-0.581307,-0.59748,-0.629656,-0.619683,-0.66701,-1.10312,-1.137892,-1.063766,-0.979753,-0.918359,-0.861034,-0.80998,-0.768244,-0.760329,-0.768844,-0.771017,-0.740258,-0.773912,-0.816704,-0.871394,-1.175874,-1.137892,-1.063766,-1.042744,-1.036548,-0.972232,-0.968407,-0.919173,-0.906597,-0.912759,-0.9133,-0.930628,-0.966253,-1.013724,-1.075778,-1.175874,-1.137892,-1.131047,-1.105734,-1.095643,-1.13903,-1.126835,-1.120413,-1.150376,-1.152618,-1.197865,-1.216184,-1.254764,-1.309255,-1.331258,-1.175874,-1.208652,-1.198328,-1.231714,-1.272926,-1.250228,-1.285263,-1.321652,-1.3454,-1.392476,-1.435003,-1.501739,-1.543275,-1.555531,-1.586738,-1.175874,-1.279411,-1.33289,-1.357695,-1.391115,-1.417025,-1.4965,-1.522891,-1.540424,-1.632335,-1.67214,-1.69211,-1.735616,-1.752551,-1.791122,-1.175874,-1.279411,-1.400171,-1.483675,-1.509304,-1.583822,-1.654928,-1.67382,-1.735448,-1.824222,-1.86185,-1.88248,-1.927957,-1.949572,-1.94441,COH
8,0.091123,0.147684,0.214515,0.228628,0.303615,0.388365,0.414807,0.442899,0.545414,0.585612,0.620773,0.661765,0.693886,0.725269,0.768412,0.14464,0.202879,0.271616,0.346939,0.426054,0.451806,0.480117,0.577221,0.614406,0.656076,0.620773,0.661765,0.693886,0.725269,0.688436,0.198157,0.258074,0.328717,0.346939,0.426054,0.451806,0.480117,0.51006,0.545414,0.585612,0.620773,0.661765,0.693886,0.647935,0.688436,0.14464,0.202879,0.214515,0.287783,0.303615,0.324923,0.349497,0.442899,0.476421,0.515148,0.476089,0.513369,0.541745,0.570601,0.608461,0.037606,0.037294,0.100313,0.110317,0.181176,0.19804,0.218877,0.241416,0.269444,0.303756,0.331405,0.364974,0.389604,0.415932,0.44851,-0.122944,-0.128291,-0.128092,-0.067149,-0.063701,-0.055726,-0.042363,0.039934,0.062466,0.092365,0.114379,0.14238,0.161393,0.18393,0.208584,-0.337012,-0.349071,-0.356496,-0.362927,-0.369798,-0.372933,-0.303604,-0.295871,-0.282496,-0.189491,-0.17499,-0.154412,-0.066819,-0.048073,-0.031342,-0.551079,-0.625047,-0.642002,-0.658704,-0.675895,-0.69014,-0.630154,-0.631676,-0.558466,-0.54181,-0.464358,-0.451204,-0.371101,-0.280075,-0.271268,-0.818664,-0.845827,-0.870407,-0.954482,-0.981991,-1.007348,-0.956705,-0.96748,-0.903429,-0.89413,-0.826068,-0.747995,-0.675382,-0.589412,-0.511194,-1.032732,-1.066607,-1.098811,-1.131948,-1.165649,-1.197672,-1.217945,-1.236124,-1.179399,-1.175985,-1.115437,-1.044787,-0.979664,-0.821414,-0.75112,-1.193282,-1.232192,-1.270115,-1.309415,-1.349307,-1.387997,-1.413875,-1.437607,-1.386376,-1.387377,-1.332463,-1.267381,-1.207876,-1.13075,-0.991046,-1.40735,-1.452973,-1.498519,-1.486881,-1.532965,-1.578321,-1.609806,-1.571929,-1.593354,-1.598768,-1.549489,-1.489975,-1.436087,-1.362753,-1.230972,-1.674934,-1.728948,-1.726924,-1.782659,-1.777843,-1.832087,-1.871046,-1.840572,-1.869324,-1.81016,-1.766515,-1.712568,-1.664299,-1.594755,-1.470898,-1.942519,-2.004923,-2.01243,-2.078436,-2.083939,-2.149295,-2.132286,-2.176377,-2.145293,-2.092016,-2.055883,-2.00936,-1.89251,-1.826758,-1.710824,-2.156586,-2.225703,-2.297935,-2.374214,-2.390036,-2.466502,-2.458837,-2.445021,-2.421263,-2.373871,-2.345252,-2.231954,-2.120722,-2.05876,-1.95075,COH
9,0.97886,0.994747,0.998701,0.961984,0.984712,1.00203,1.013098,1.007514,0.994402,1.001102,1.041789,1.123808,1.131578,1.212722,1.192102,0.811185,0.767376,0.769007,0.785633,0.743624,0.753204,0.753239,0.737139,0.784756,0.782572,0.813028,0.883687,0.881369,0.952853,1.014785,0.531726,0.540005,0.539314,0.491716,0.502537,0.504378,0.49338,0.534357,0.505228,0.4912,0.508014,0.563527,0.631159,0.692984,0.748808,0.30816,0.255792,0.252197,0.256582,0.261449,0.255551,0.298486,0.263982,0.2257,0.27267,0.279253,0.323406,0.38095,0.433115,0.482831,0.028701,0.028421,0.022504,0.021448,0.020362,0.068932,0.038628,-0.006394,0.016054,-0.018703,-0.025761,0.083285,0.13074,0.173246,0.128196,-0.194866,-0.198949,-0.20719,-0.213686,-0.220725,-0.179895,-0.221231,-0.209176,-0.263474,-0.310076,-0.254522,-0.236876,-0.202873,-0.173246,-0.137781,-0.362541,-0.42632,-0.436883,-0.390036,-0.401541,-0.428721,-0.416125,-0.479551,-0.543002,-0.601449,-0.559537,-0.557037,-0.536485,-0.519738,-0.492416,-0.530216,-0.540005,-0.55173,-0.566387,-0.582356,-0.615341,-0.675984,-0.749927,-0.82253,-0.819978,-0.864551,-0.877198,-0.870098,-0.86623,-0.847052,-0.641999,-0.653691,-0.724,-0.742737,-0.763172,-0.80196,-0.870878,-0.952708,-1.032176,-1.111351,-1.169566,-1.197359,-1.203711,-1.212722,-1.201687,-0.697891,-0.767376,-0.838847,-0.860304,-0.943987,-0.98858,-1.065772,-1.15549,-1.241822,-1.329881,-1.398326,-1.437479,-1.45392,-1.472591,-1.467664,-0.753782,-0.824219,-0.838847,-0.919088,-1.004259,-1.112993,-1.195701,-1.358272,-1.451468,-1.548411,-1.627087,-1.6776,-1.70413,-1.645838,-1.644982,-0.753782,-0.767376,-0.838847,-0.919088,-1.004259,-1.112993,-1.260666,-1.425866,-1.52135,-1.621254,-1.703341,-1.75764,-1.787533,-1.819084,-1.822299,-0.697891,-0.710533,-0.781423,-0.801521,-0.883715,-1.050787,-1.195701,-1.358272,-1.52135,-1.621254,-1.703341,-1.75764,-1.787533,-1.819084,-1.822299,-0.697891,-0.710533,-0.781423,-0.801521,-0.883715,-0.926374,-1.065772,-1.223084,-1.381586,-1.548411,-1.627087,-1.6776,-1.70413,-1.732461,-1.73364,-0.809674,-0.824219,-0.89627,-0.919088,-0.943987,-0.98858,-1.065772,-1.15549,-1.311704,-1.402724,-1.47458,-1.59756,-1.620726,-1.645838,-1.556323,COH
