,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,label
0,-1.044594,-1.287007,-1.551226,-1.713213,-1.79754,-1.85674,-1.83879,-1.79405,-1.773107,-1.711814,-1.661791,-1.584368,-1.555124,-1.48857,-1.489149,-1.215423,-1.44521,-1.697642,-1.849974,-1.926246,-1.917321,-1.897365,-1.851349,-1.829981,-1.768874,-1.719498,-1.703276,-1.616401,-1.617254,-1.557004,-1.300837,-1.603414,-1.770851,-1.918355,-1.9906,-1.977903,-1.897365,-1.908647,-1.886856,-1.882995,-1.834911,-1.76273,-1.738956,-1.681597,-1.62486,-1.386251,-1.682515,-1.844059,-1.986735,-1.9906,-1.977903,-1.95594,-1.908647,-1.886856,-1.882995,-1.892617,-1.822183,-1.800234,-1.745939,-1.692715,-1.471665,-1.682515,-1.844059,-1.918355,-1.926246,-1.917321,-1.897365,-1.908647,-1.886856,-1.882995,-1.834911,-1.822183,-1.800234,-1.745939,-1.692715,-1.471665,-1.682515,-1.844059,-1.849974,-1.861893,-1.85674,-1.83879,-1.79405,-1.829981,-1.768874,-1.777204,-1.76273,-1.738956,-1.745939,-1.692715,-1.471665,-1.603414,-1.697642,-1.713213,-1.733187,-1.674996,-1.721639,-1.679454,-1.659357,-1.654753,-1.661791,-1.643822,-1.616401,-1.617254,-1.557004,-1.386251,-1.524312,-1.551226,-1.508071,-1.540128,-1.553833,-1.545913,-1.50756,-1.488733,-1.483572,-1.488672,-1.524914,-1.493846,-1.48857,-1.421294,-1.300837,-1.366108,-1.331601,-1.302929,-1.282715,-1.311507,-1.311612,-1.335666,-1.318109,-1.312391,-1.315552,-1.287098,-1.310014,-1.295542,-1.285583,-1.130008,-1.128803,-1.111976,-1.029406,-1.025302,-1.069181,-1.077311,-1.049175,-1.090611,-1.084149,-1.084726,-1.049282,-1.064904,-1.038173,-1.014162,-1.044594,-0.9706,-0.819142,-0.755883,-0.76789,-0.766274,-0.784434,-0.819982,-0.806237,-0.798846,-0.796194,-0.811466,-0.819794,-0.780803,-0.742741,-0.873765,-0.733294,-0.599517,-0.482361,-0.446124,-0.463366,-0.491558,-0.533492,-0.521864,-0.570605,-0.565368,-0.514196,-0.513406,-0.523434,-0.471319,-0.788351,-0.575091,-0.379892,-0.208838,-0.124358,-0.160459,-0.198681,-0.247001,-0.23749,-0.285302,-0.276835,-0.276381,-0.268296,-0.201722,-0.199898,-0.702937,-0.495989,-0.233475,-0.072077,0.133054,0.142448,0.152771,0.096787,0.046883,0.0,0.011697,0.020889,0.038091,0.055647,0.071523,-0.617522,-0.416888,-0.160267,0.064684,0.261761,0.384774,0.387072,0.383278,0.331257,0.285302,0.30023,0.258705,0.283201,0.313017,0.342944,COL
1,-0.776655,-0.914225,-1.019439,-1.081468,-1.151519,-1.151198,-1.22576,-1.194845,-1.231584,-1.278695,-1.290341,-1.372723,-1.402715,-1.37723,-1.362117,-0.865898,-0.996728,-1.095794,-1.15204,-1.218352,-1.215058,-1.287172,-1.315061,-1.34979,-1.396094,-1.409326,-1.433623,-1.465321,-1.442644,-1.430873,-0.955141,-0.996728,-1.095794,-1.222612,-1.285186,-1.342777,-1.348585,-1.435276,-1.467997,-1.513493,-1.52831,-1.555423,-1.527928,-1.508058,-1.49963,-0.955141,-1.079231,-1.172149,-1.293185,-1.352019,-1.406637,-1.47141,-1.495384,-1.586203,-1.572192,-1.587803,-1.616324,-1.590534,-1.573472,-1.568386,-0.955141,-1.079231,-1.248503,-1.363757,-1.418852,-1.470496,-1.532822,-1.6156,-1.586203,-1.630892,-1.647295,-1.616324,-1.590534,-1.573472,-1.49963,-0.955141,-1.161734,-1.248503,-1.363757,-1.418852,-1.534356,-1.594235,-1.6156,-1.645307,-1.630892,-1.647295,-1.616324,-1.590534,-1.573472,-1.49963,-0.955141,-1.161734,-1.248503,-1.363757,-1.485685,-1.534356,-1.594235,-1.6156,-1.586203,-1.630892,-1.587803,-1.616324,-1.527928,-1.442644,-1.362117,-0.865898,-1.079231,-1.248503,-1.363757,-1.418852,-1.470496,-1.532822,-1.555492,-1.586203,-1.572192,-1.52831,-1.494523,-1.465321,-1.37723,-1.224605,-0.776655,-0.996728,-1.172149,-1.293185,-1.352019,-1.406637,-1.409997,-1.435276,-1.467997,-1.454793,-1.409326,-1.372723,-1.277503,-1.180988,-1.018336,-0.687412,-0.831722,-1.019439,-1.15204,-1.218352,-1.278918,-1.287172,-1.315061,-1.290687,-1.278695,-1.290341,-1.190022,-1.089685,-0.984746,-0.812067,-0.508926,-0.666715,-0.86673,-0.940324,-1.017853,-1.087339,-1.102935,-1.134737,-1.113377,-1.102597,-1.052372,-0.946422,-0.83926,-0.72309,-0.537042,-0.33044,-0.501709,-0.637665,-0.728608,-0.817353,-0.8319,-0.857285,-0.894306,-0.876964,-0.8091,-0.75491,-0.702821,-0.588836,-0.461434,-0.330773,-0.151954,-0.254199,-0.408601,-0.44632,-0.55002,-0.576462,-0.611635,-0.593767,-0.581448,-0.515603,-0.51694,-0.39832,-0.275805,-0.199778,-0.055748,0.115775,-0.006689,-0.103182,-0.164032,-0.215853,-0.257164,-0.304573,-0.293228,-0.285932,-0.222106,-0.159986,-0.093819,0.037225,0.127292,0.219277,0.294261,0.24082,0.125882,0.118256,0.118313,0.062134,0.063902,0.067418,0.127791,0.130091,0.196968,0.271582,0.350256,0.388948,0.494302,COL
2,-1.729275,-1.655566,-1.681567,-1.618817,-1.510717,-1.409212,-1.353082,-1.336001,-1.279029,-1.22461,-1.243973,-1.148363,-1.135213,-1.064042,-0.986451,-1.831485,-1.840909,-1.766102,-1.696303,-1.583263,-1.477414,-1.418869,-1.400958,-1.408951,-1.355094,-1.30982,-1.282504,-1.204183,-1.135364,-1.06041,-1.933694,-1.93358,-1.850637,-1.696303,-1.655808,-1.545617,-1.484656,-1.465914,-1.473912,-1.420336,-1.375667,-1.349575,-1.273153,-1.206685,-1.06041,-2.035904,-1.93358,-1.850637,-1.773788,-1.655808,-1.613819,-1.550443,-1.530871,-1.473912,-1.420336,-1.375667,-1.349575,-1.273153,-1.206685,-1.06041,-2.035904,-1.93358,-1.850637,-1.773788,-1.655808,-1.613819,-1.550443,-1.530871,-1.473912,-1.420336,-1.375667,-1.349575,-1.273153,-1.206685,-1.134369,-1.933694,-1.840909,-1.766102,-1.696303,-1.655808,-1.613819,-1.550443,-1.465914,-1.473912,-1.420336,-1.375667,-1.349575,-1.273153,-1.278007,-1.208328,-1.831485,-1.748237,-1.681567,-1.696303,-1.655808,-1.545617,-1.484656,-1.465914,-1.408951,-1.420336,-1.375667,-1.349575,-1.342123,-1.278007,-1.208328,-1.627066,-1.655566,-1.597031,-1.618817,-1.583263,-1.477414,-1.418869,-1.400958,-1.408951,-1.355094,-1.375667,-1.349575,-1.342123,-1.278007,-1.208328,-1.524856,-1.470222,-1.512496,-1.463846,-1.438171,-1.409212,-1.353082,-1.336001,-1.34399,-1.355094,-1.30982,-1.282504,-1.273153,-1.278007,-1.208328,-1.320437,-1.284879,-1.343425,-1.308875,-1.365625,-1.272807,-1.287295,-1.271044,-1.279029,-1.289852,-1.243973,-1.215434,-1.204183,-1.206685,-1.208328,-1.116018,-1.099536,-1.174355,-1.153905,-1.220534,-1.136402,-1.15572,-1.206088,-1.214068,-1.159368,-1.178126,-1.148363,-1.135213,-1.135364,-1.134369,-0.911599,-0.914193,-1.005284,-0.998934,-1.002896,-0.999997,-1.024146,-1.011218,-1.084146,-1.028884,-1.046432,-1.014221,-0.997272,-0.99272,-0.986451,-0.70718,-0.72885,-0.751679,-0.766477,-0.785259,-0.795389,-0.826785,-0.881304,-0.889263,-0.833158,-0.848892,-0.813008,-0.859332,-0.850077,-0.838533,-0.400551,-0.543506,-0.498073,-0.534021,-0.567622,-0.590781,-0.563636,-0.621477,-0.629419,-0.637432,-0.651351,-0.611795,-0.652421,-0.636112,-0.690616,-0.196132,-0.265492,-0.244467,-0.301565,-0.277439,-0.317971,-0.300487,-0.361651,-0.369575,-0.376464,-0.387963,-0.410583,-0.37654,-0.422147,-0.468739,COL
3,-1.756149,-1.755465,-1.658395,-1.608923,-1.535285,-1.439607,-1.419574,-1.369007,-1.328706,-1.301325,-1.273828,-1.275044,-1.271317,-1.236495,-1.2004,-1.689265,-1.635958,-1.604309,-1.508195,-1.439612,-1.39357,-1.374566,-1.324477,-1.328706,-1.301325,-1.318651,-1.320891,-1.318215,-1.333066,-1.300489,-1.555498,-1.51645,-1.496137,-1.407467,-1.391776,-1.347532,-1.329558,-1.324477,-1.328706,-1.301325,-1.318651,-1.320891,-1.318215,-1.333066,-1.350534,-1.42173,-1.396943,-1.387965,-1.357103,-1.296103,-1.301494,-1.28455,-1.279946,-1.284276,-1.301325,-1.318651,-1.320891,-1.318215,-1.333066,-1.350534,-1.221079,-1.277436,-1.279793,-1.256375,-1.248267,-1.255457,-1.239542,-1.235416,-1.239846,-1.256701,-1.273828,-1.275044,-1.271317,-1.333066,-1.300489,-1.087312,-1.217682,-1.225707,-1.206012,-1.200431,-1.163382,-1.194534,-1.190886,-1.195416,-1.212077,-1.229004,-1.229197,-1.224419,-1.236495,-1.250445,-0.953545,-1.098175,-1.117535,-1.105284,-1.104759,-1.117344,-1.149526,-1.146355,-1.150985,-1.12283,-1.139358,-1.137503,-1.130623,-1.139924,-1.150355,-0.886661,-0.978668,-1.009362,-1.05492,-1.056922,-1.025269,-1.05951,-1.057295,-1.062125,-1.033582,-1.049712,-1.045809,-1.036827,-0.995069,-1.00022,-0.752893,-0.918914,-0.955276,-0.954192,-0.96125,-0.979231,-0.969495,-0.968234,-0.973264,-0.944335,-0.915242,-0.908267,-0.849235,-0.850213,-0.800041,-0.68601,-0.799407,-0.847104,-0.853464,-0.865577,-0.887156,-0.879479,-0.879173,-0.839973,-0.810464,-0.780772,-0.724879,-0.708541,-0.657072,-0.599862,-0.619126,-0.739653,-0.793018,-0.8031,-0.769905,-0.795081,-0.744455,-0.745582,-0.706682,-0.676592,-0.601479,-0.541491,-0.47405,-0.415645,-0.349638,-0.552242,-0.620146,-0.684846,-0.702372,-0.674232,-0.656969,-0.609431,-0.611991,-0.528961,-0.498097,-0.422186,-0.358103,-0.286458,-0.174219,-0.099413,-0.485359,-0.560392,-0.576674,-0.551281,-0.530724,-0.518856,-0.474408,-0.43387,-0.35124,-0.274979,-0.19807,-0.128867,-0.051968,0.067208,0.150811,-0.418475,-0.440885,-0.414416,-0.450553,-0.387215,-0.380743,-0.294376,-0.255749,-0.173518,-0.096484,0.026046,0.100368,0.182522,0.308634,0.35099,-0.284708,-0.261624,-0.306244,-0.299461,-0.243706,-0.196593,-0.114344,-0.033097,0.048633,0.126635,0.250162,0.329603,0.417012,0.501776,0.601214,COL
4,-1.998226,-1.952127,-1.860753,-1.785175,-1.740878,-1.663907,-1.614254,-1.541798,-1.526745,-1.521669,-1.492214,-1.512764,-1.497013,-1.448586,-1.406186,-1.808408,-1.777732,-1.699012,-1.63397,-1.596993,-1.525612,-1.479327,-1.453113,-1.482647,-1.477649,-1.492214,-1.468253,-1.452127,-1.448586,-1.406186,-1.618589,-1.603337,-1.591184,-1.533166,-1.453108,-1.433415,-1.389376,-1.408771,-1.394451,-1.433629,-1.448009,-1.423742,-1.407241,-1.402952,-1.313153,-1.42877,-1.428942,-1.429443,-1.381961,-1.357185,-1.341217,-1.344401,-1.364428,-1.350353,-1.389609,-1.359599,-1.379231,-1.362355,-1.311683,-1.266636,-1.175679,-1.254546,-1.267702,-1.230756,-1.2133,-1.24902,-1.25445,-1.275743,-1.306255,-1.301569,-1.315394,-1.29021,-1.272582,-1.266048,-1.22012,-0.98586,-1.022019,-1.052047,-1.079551,-1.117376,-1.156823,-1.164499,-1.187058,-1.218059,-1.213528,-1.226985,-1.201189,-1.18281,-1.174779,-1.127086,-0.732769,-0.847624,-0.890305,-0.928346,-0.973492,-1.018528,-1.074548,-1.098374,-1.085765,-1.125488,-1.09437,-1.112167,-1.093038,-1.037876,-1.034053,-0.54295,-0.615097,-0.728564,-0.827542,-0.877568,-0.926331,-0.939622,-0.965346,-0.997569,-0.993428,-1.00596,-0.978635,-0.958379,-0.946607,-0.894503,-0.289858,-0.440702,-0.566823,-0.676337,-0.733683,-0.788035,-0.804696,-0.832319,-0.865275,-0.861367,-0.873345,-0.845103,-0.868607,-0.809704,-0.80147,-0.036767,-0.266306,-0.405082,-0.525132,-0.589798,-0.64974,-0.669769,-0.699292,-0.732981,-0.729307,-0.740731,-0.71157,-0.733949,-0.718435,-0.66192,0.153052,-0.033779,-0.24334,-0.373926,-0.445914,-0.511444,-0.534843,-0.566265,-0.600687,-0.597246,-0.608116,-0.622549,-0.59929,-0.581531,-0.568886,0.342871,0.140616,-0.027685,-0.222721,-0.34999,-0.419247,-0.444892,-0.433237,-0.468392,-0.465186,-0.475501,-0.489017,-0.509518,-0.490262,-0.429336,0.532689,0.315011,0.080142,-0.071516,-0.206105,-0.280952,-0.354941,-0.344553,-0.380196,-0.377146,-0.387092,-0.399995,-0.37486,-0.353359,-0.336303,0.659235,0.431275,0.241883,0.029287,-0.110182,-0.188755,-0.26499,-0.255868,-0.292,-0.289105,-0.298682,-0.310974,-0.285088,-0.26209,-0.196753,0.659235,0.431275,0.295797,0.130091,-0.014259,-0.142656,-0.17504,-0.211525,-0.203804,-0.245085,-0.254477,-0.221952,-0.195315,-0.170821,-0.10372,COL
5,-1.256001,-1.253901,-1.302677,-1.339874,-1.442498,-1.530858,-1.630406,-1.747287,-1.829337,-1.885496,-1.800987,-1.646007,-1.507592,-1.337279,-1.221419,-1.435199,-1.433608,-1.482412,-1.577931,-1.618355,-1.703898,-1.859018,-1.919609,-1.946036,-1.885496,-1.737372,-1.578712,-1.507592,-1.337279,-1.221419,-1.614397,-1.613315,-1.662148,-1.69696,-1.794211,-1.934618,-2.030477,-2.034491,-2.004385,-1.885496,-1.673757,-1.578712,-1.434676,-1.337279,-1.307829,-1.733862,-1.733119,-1.781971,-1.875502,-1.970067,-2.049978,-2.144783,-2.091932,-1.946036,-1.764851,-1.673757,-1.511416,-1.434676,-1.337279,-1.307829,-1.793595,-1.852924,-1.901795,-1.994531,-2.087305,-2.165338,-2.144783,-2.034491,-1.829337,-1.704528,-1.546528,-1.444121,-1.361759,-1.337279,-1.307829,-1.91306,-1.912826,-1.961707,-2.054045,-2.145924,-2.165338,-2.08763,-1.919609,-1.712638,-1.583882,-1.482913,-1.376826,-1.288843,-1.258112,-1.307829,-1.972793,-1.972728,-2.021618,-2.054045,-2.087305,-2.049978,-1.916171,-1.689846,-1.537589,-1.463237,-1.355683,-1.242235,-1.215927,-1.178945,-1.135009,-1.972793,-1.972728,-2.021618,-1.994531,-1.970067,-1.819258,-1.630406,-1.460083,-1.36254,-1.282268,-1.164839,-1.107644,-1.070095,-0.941444,-0.962189,-1.972793,-1.972728,-1.901795,-1.875502,-1.735592,-1.588538,-1.344641,-1.172879,-1.129142,-1.040977,-0.973994,-0.905759,-0.77843,-0.703943,-0.616548,-1.91306,-1.852924,-1.781971,-1.637445,-1.442498,-1.242458,-1.001722,-0.885675,-0.837395,-0.739362,-0.65592,-0.569282,-0.486765,-0.387276,-0.357318,-1.733862,-1.673217,-1.542324,-1.339874,-1.149404,-0.838698,-0.601651,-0.54103,-0.428948,-0.377425,-0.337846,-0.232805,-0.1951,-0.070608,0.074733,-1.435199,-1.373705,-1.242765,-1.042303,-0.739072,-0.434938,-0.20158,-0.138945,-0.020501,-0.015488,0.043843,0.103671,0.242397,0.325226,0.506784,-1.01707,-0.954389,-0.883294,-0.625704,-0.328741,-0.031178,0.198491,0.320582,0.387946,0.406772,0.489146,0.574738,0.679894,0.800227,1.025245,-0.360011,-0.415269,-0.344088,-0.14959,0.081591,0.372582,0.598562,0.722667,0.796392,0.889354,0.93445,0.97851,1.117392,1.275229,1.457296,0.416514,0.243657,0.25503,0.386038,0.550542,0.834022,0.998633,1.182194,1.263189,1.311614,1.379754,1.449577,1.554889,1.671063,1.889347,COL
6,-0.411139,-0.433341,-0.459744,-0.579251,-0.632274,-0.760038,-0.763851,-0.839478,-0.936486,-1.042527,-1.243904,-1.3214,-1.336655,-1.176268,-0.981622,-0.55883,-0.655004,-0.681621,-0.803282,-0.929342,-0.980597,-1.058636,-1.136354,-1.237463,-1.347757,-1.478324,-1.484373,-1.336655,-1.176268,-0.981622,-0.706521,-0.802779,-0.903498,-1.027313,-1.152144,-1.274677,-1.353421,-1.359012,-1.463196,-1.57668,-1.634604,-1.565859,-1.422592,-1.176268,-0.981622,-0.854211,-0.950554,-1.125374,-1.251344,-1.449212,-1.495237,-1.57451,-1.655888,-1.764173,-1.729295,-1.712744,-1.565859,-1.336655,-1.176268,-0.981622,-1.001902,-1.09833,-1.273292,-1.475374,-1.597746,-1.715797,-1.795599,-1.878545,-1.839417,-1.805603,-1.712744,-1.565859,-1.336655,-1.176268,-0.981622,-1.149593,-1.246105,-1.42121,-1.624728,-1.820548,-1.936357,-1.942991,-1.952764,-1.914661,-1.805603,-1.634604,-1.402886,-1.250719,-1.084255,-0.884768,-1.297284,-1.39388,-1.643087,-1.848759,-1.969082,-2.009877,-2.016687,-1.952764,-1.839417,-1.729295,-1.478324,-1.239914,-1.078847,-0.90023,-0.787915,-1.371129,-1.541655,-1.717046,-1.923436,-2.043349,-2.009877,-1.942991,-1.878545,-1.688928,-1.500372,-1.243904,-1.076941,-0.906975,-0.716205,-0.594208,-1.51882,-1.689431,-1.864963,-1.998113,-1.969082,-1.936357,-1.795599,-1.655888,-1.463196,-1.195142,-0.931344,-0.750996,-0.56323,-0.440168,-0.400502,-1.592665,-1.763318,-1.864963,-1.923436,-1.820548,-1.715797,-1.57451,-1.359012,-1.086974,-0.813604,-0.540644,-0.343564,-0.219486,-0.16413,-0.109942,-1.592665,-1.763318,-1.791004,-1.699405,-1.597746,-1.421717,-1.206029,-0.987916,-0.710753,-0.432066,-0.149944,0.063868,0.124259,0.20392,0.180618,-1.592665,-1.689431,-1.643087,-1.475374,-1.226411,-1.054117,-0.837548,-0.542602,-0.259288,0.02578,0.318896,0.471299,0.55394,0.479957,0.471178,-1.51882,-1.541655,-1.42121,-1.176667,-0.855075,-0.539478,-0.321674,-0.023068,0.192178,0.483625,0.709595,0.878731,0.811748,0.755994,0.664885,-1.297284,-1.246105,-1.125374,-0.803282,-0.409473,-0.098358,0.1942,0.496465,0.718888,0.941471,1.100295,1.204676,1.069557,1.032032,0.955445,-0.928057,-0.876667,-0.681621,-0.35522,0.03613,0.416282,0.710073,0.94178,1.170353,1.323009,1.412855,1.367649,1.327365,1.216057,1.246005,COL
7,-0.982852,-1.066655,-1.151884,-1.158304,-1.177304,-1.196324,-1.208616,-1.182208,-1.212004,-1.192178,-1.116096,-1.048659,-0.992442,-0.948308,-0.835624,-0.982852,-1.066655,-1.151884,-1.158304,-1.177304,-1.196324,-1.208616,-1.182208,-1.212004,-1.192178,-1.178241,-1.112058,-1.057897,-0.948308,-0.908372,-0.982852,-0.998844,-1.086113,-1.158304,-1.177304,-1.196324,-1.208616,-1.182208,-1.212004,-1.192178,-1.178241,-1.112058,-1.057897,-1.016972,-0.981121,-0.911895,-0.998844,-1.020342,-1.094098,-1.11399,-1.134024,-1.147441,-1.182208,-1.212004,-1.192178,-1.178241,-1.175457,-1.123352,-1.085637,-1.053869,-0.840938,-0.931032,-0.954571,-1.029893,-1.050675,-1.134024,-1.147441,-1.121159,-1.151075,-1.192178,-1.178241,-1.175457,-1.188807,-1.154301,-1.126618,-0.699024,-0.79541,-0.888799,-0.965687,-0.987361,-1.071725,-1.086267,-1.121159,-1.090145,-1.13087,-1.178241,-1.175457,-1.188807,-1.154301,-1.126618,-0.557109,-0.659787,-0.757257,-0.837276,-0.924047,-0.947125,-1.025092,-1.060109,-1.090145,-1.13087,-1.116096,-1.175457,-1.188807,-1.154301,-1.126618,-0.344238,-0.456353,-0.559944,-0.708865,-0.797418,-0.884825,-0.902742,-0.938011,-1.029216,-1.069563,-1.05395,-1.112058,-1.123352,-1.154301,-1.126618,-0.131367,-0.252918,-0.36263,-0.516248,-0.67079,-0.760226,-0.841567,-0.876962,-0.907356,-0.946949,-0.991805,-1.048659,-1.057897,-1.085637,-1.126618,0.081505,-0.049484,-0.165317,-0.323631,-0.480847,-0.635626,-0.719218,-0.754864,-0.846427,-0.885641,-0.92966,-0.985259,-0.992442,-1.016972,-1.053869,0.223419,0.15395,0.031997,-0.131014,-0.290904,-0.448727,-0.596868,-0.693815,-0.724568,-0.824334,-0.867515,-0.92186,-0.926987,-0.948308,-0.981121,0.365333,0.289573,0.22931,0.061603,-0.100961,-0.261827,-0.413343,-0.510667,-0.602709,-0.70172,-0.743224,-0.795062,-0.861531,-0.879644,-0.908372,0.507248,0.493007,0.360853,0.25422,0.088982,-0.074928,-0.229819,-0.32752,-0.48085,-0.517798,-0.618933,-0.668263,-0.730621,-0.742316,-0.762875,0.649162,0.62863,0.558166,0.446836,0.278925,0.174271,0.01488,-0.144373,-0.237131,-0.333876,-0.432498,-0.478065,-0.534256,-0.604987,-0.617379,0.791076,0.764253,0.689708,0.575248,0.468868,0.36117,0.25958,0.099824,-0.054343,-0.149954,-0.246062,-0.287867,-0.33789,-0.398995,-0.399133,COL
8,-1.559133,-1.597793,-1.622649,-1.637993,-1.596555,-1.557525,-1.525134,-1.533831,-1.50929,-1.550631,-1.626974,-1.782105,-1.82902,-1.830514,-1.850896,-1.485645,-1.597793,-1.695379,-1.709336,-1.666588,-1.694654,-1.72691,-1.794909,-1.831714,-1.87169,-1.888279,-1.982727,-2.106229,-2.120884,-2.159379,-1.33867,-1.524491,-1.622649,-1.709336,-1.806653,-1.831783,-1.928686,-1.990717,-2.025168,-2.064326,-2.084257,-2.116475,-2.175531,-2.193477,-2.236499,-1.118206,-1.304584,-1.477191,-1.637993,-1.736621,-1.831783,-1.928686,-1.990717,-2.025168,-2.064326,-2.084257,-2.116475,-2.106229,-2.193477,-2.159379,-0.824255,-1.011375,-1.186274,-1.423965,-1.596555,-1.694654,-1.794169,-1.860178,-1.896199,-1.935902,-1.953605,-1.982727,-1.967624,-1.975699,-2.005137,-0.456816,-0.644863,-0.895356,-1.06725,-1.316425,-1.420396,-1.525134,-1.599101,-1.702744,-1.743266,-1.757627,-1.71523,-1.759717,-1.757921,-1.773775,-0.089377,-0.351653,-0.53171,-0.781879,-0.966261,-1.146139,-1.2561,-1.338023,-1.444806,-1.486419,-1.496322,-1.514608,-1.482508,-1.46755,-1.465293,0.204574,0.014859,-0.168064,-0.425165,-0.616098,-0.871881,-0.987066,-1.076945,-1.186867,-1.229571,-1.235017,-1.247112,-1.205299,-1.177179,-1.15681,0.572013,0.308068,0.122854,-0.068451,-0.265935,-0.529058,-0.718031,-0.815868,-0.928928,-0.972723,-0.973713,-0.979615,-0.997392,-0.959401,-0.848327,0.865964,0.601278,0.413771,0.216921,0.014196,-0.186236,-0.381738,-0.55479,-0.670989,-0.715876,-0.777734,-0.778993,-0.720182,-0.66903,-0.616965,1.086428,0.894487,0.704688,0.502292,0.364359,0.088022,-0.112704,-0.293712,-0.413051,-0.459028,-0.51643,-0.511497,-0.442973,-0.378659,-0.308483,1.306891,1.114394,0.922876,0.716321,0.574457,0.430844,0.223589,0.032635,-0.090627,-0.202181,-0.255125,-0.244,-0.235066,-0.160881,0.0,1.380379,1.187696,1.068334,0.930349,0.784555,0.705102,0.492624,0.293712,0.167312,0.054667,0.00618,0.023496,0.042143,0.12949,0.308483,1.306891,1.260999,1.141063,1.073035,0.994653,0.910796,0.828917,0.620059,0.489735,0.375726,0.33281,0.290993,0.319353,0.419861,0.539845,1.306891,1.260999,1.213793,1.144378,1.064686,1.047925,1.030693,0.946406,0.812159,0.696786,0.594115,0.625363,0.596562,0.637639,0.771207,COL
9,-0.356082,-0.560448,-0.693182,-0.80881,-0.907488,-1.000984,-1.028617,-1.061221,-1.115021,-1.117431,-1.176319,-1.127253,-1.140992,-1.111693,-1.030956,-0.284284,-0.489433,-0.62377,-0.80881,-0.907488,-1.000984,-1.088131,-1.118417,-1.170999,-1.172521,-1.230588,-1.234541,-1.194229,-1.164699,-1.137211,-0.212485,-0.418417,-0.62377,-0.741257,-0.907488,-1.000984,-1.088131,-1.118417,-1.170999,-1.227611,-1.230588,-1.234541,-1.247465,-1.217705,-1.190338,-0.140686,-0.347401,-0.484946,-0.673704,-0.842793,-0.938842,-1.028617,-1.118417,-1.170999,-1.227611,-1.284857,-1.288186,-1.247465,-1.270711,-1.243465,-0.068888,-0.276385,-0.415534,-0.606151,-0.778097,-0.876701,-0.969104,-1.061221,-1.170999,-1.227611,-1.230588,-1.288186,-1.300702,-1.270711,-1.243465,0.074709,-0.134354,-0.346122,-0.471045,-0.648705,-0.814559,-0.909591,-1.004024,-1.115021,-1.172521,-1.230588,-1.234541,-1.247465,-1.270711,-1.296592,0.218307,0.007677,-0.207298,-0.403492,-0.58401,-0.690276,-0.850077,-0.889632,-1.003065,-1.062342,-1.12205,-1.180897,-1.247465,-1.270711,-1.296592,0.361904,0.078693,-0.068474,-0.268386,-0.454618,-0.565993,-0.73105,-0.832436,-0.891109,-1.007252,-1.06778,-1.127253,-1.194229,-1.270711,-1.296592,0.433702,0.220724,0.07035,-0.13328,-0.260531,-0.441709,-0.55251,-0.660847,-0.779153,-0.897072,-0.959242,-1.019965,-1.140992,-1.217705,-1.243465,0.505501,0.362756,0.139762,0.001826,-0.13114,-0.317426,-0.433483,-0.546455,-0.667197,-0.786892,-0.850704,-0.96632,-1.034518,-1.111693,-1.190338,0.5773,0.433772,0.278586,0.136932,-0.001749,-0.131001,-0.314456,-0.432063,-0.555241,-0.621622,-0.742166,-0.859032,-0.928045,-1.005681,-1.137211,0.649098,0.504787,0.347998,0.204485,0.127643,-0.006718,-0.135916,-0.317671,-0.387307,-0.511443,-0.633628,-0.751744,-0.821572,-0.952675,-1.030956,0.649098,0.575803,0.41741,0.272038,0.192339,0.117565,-0.016889,-0.146082,-0.275351,-0.401263,-0.52509,-0.644455,-0.715098,-0.846663,-0.924702,0.649098,0.575803,0.486822,0.339591,0.257034,0.179707,0.102138,-0.03169,-0.163395,-0.346173,-0.416552,-0.537167,-0.608625,-0.687645,-0.76532,0.649098,0.646819,0.556234,0.407144,0.32173,0.30399,0.221165,0.082703,-0.051439,-0.180903,-0.308014,-0.429878,-0.502152,-0.581633,-0.659065,COL
