,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,label
0,0.169326,0.279142,0.273466,0.280833,0.21161,0.071268,-0.148275,-0.296646,-0.438568,-0.698036,-0.996231,-1.257728,-1.275453,-1.272234,-1.092589,-0.046711,0.069431,0.171262,0.180439,0.01464,-0.117083,-0.329637,-0.562191,-0.699593,-0.957607,-1.259835,-1.436712,-1.366469,-1.272234,-1.00413,-0.154729,-0.035424,0.069057,0.080044,-0.083846,-0.305434,-0.601679,-0.739222,-0.960618,-1.217178,-1.43557,-1.436712,-1.275453,-0.99829,-0.650294,-0.262747,-0.140279,-0.033147,-0.02035,-0.280816,-0.493786,-0.783041,-0.916252,-1.134634,-1.390225,-1.43557,-1.257728,-1.002405,-0.633032,-0.296457,-0.262747,-0.140279,-0.033147,-0.120745,-0.379302,-0.682137,-0.964402,-1.093283,-1.30865,-1.476749,-1.347703,-1.078743,-0.729358,-0.359088,-0.03108,-0.370765,-0.245135,-0.135352,-0.221139,-0.576272,-0.870488,-1.055083,-1.181798,-1.395659,-1.390225,-1.084099,-0.810267,-0.45631,-0.176459,0.057379,-0.370765,-0.34999,-0.339761,-0.421928,-0.674758,-0.964664,-1.145764,-1.270313,-1.395659,-1.217178,-0.908363,-0.631282,-0.365294,-0.176459,-0.03108,-0.478784,-0.559701,-0.441965,-0.522323,-0.871729,-1.05884,-1.236444,-1.270313,-1.221642,-0.957607,-0.64476,-0.452298,-0.274278,-0.176459,-0.119539,-0.478784,-0.664556,-0.646374,-0.723112,-0.970214,-1.153015,-1.236444,-1.270313,-1.047626,-0.698036,-0.556892,-0.362806,-0.274278,-0.267774,-0.296457,-0.478784,-0.769411,-0.748579,-0.823506,-1.068699,-1.153015,-1.236444,-1.181798,-0.873609,-0.611512,-0.469024,-0.362806,-0.365294,-0.450403,-0.384916,-0.586802,-0.769411,-0.850783,-1.024295,-1.167185,-1.247191,-1.236444,-1.093283,-0.786601,-0.524988,-0.469024,-0.452298,-0.45631,-0.541717,-0.561835,-0.69482,-0.874267,-0.952988,-1.12469,-1.167185,-1.247191,-1.145764,-0.916252,-0.699593,-0.524988,-0.469024,-0.452298,-0.547326,-0.633032,-0.738753,-0.802838,-0.979122,-1.055192,-1.225084,-1.26567,-1.247191,-1.145764,-0.827737,-0.612585,-0.524988,-0.556892,-0.54179,-0.638342,-0.815661,-0.915671,-1.018875,-1.083977,-1.157397,-1.325479,-1.26567,-1.247191,-1.055083,-0.827737,-0.699593,-0.698036,-0.64476,-0.631282,-0.820374,-0.906976,-1.092589,-1.234911,-1.188833,-1.361806,-1.425873,-1.364155,-1.153015,-0.964402,-0.827737,-0.786601,-0.784559,-0.820496,-0.810267,-0.911389,-1.089605,-1.269507,NROI
1,-0.169167,-0.170858,-0.261804,-0.340898,-0.418996,-0.455795,-0.562568,-0.712527,-0.85317,-0.867681,-0.750193,-0.623079,-0.556779,-0.550821,-0.68852,-0.261213,-0.261818,-0.439542,-0.513092,-0.503022,-0.706877,-0.884657,-1.018634,-1.075474,-1.088835,-0.974645,-0.929443,-0.946946,-0.945025,-0.926977,-0.35326,-0.443739,-0.528411,-0.513092,-0.671074,-0.874266,-1.126224,-1.248214,-1.297779,-1.383707,-1.423547,-1.465581,-1.415146,-1.260388,-0.926977,-0.445307,-0.5347,-0.61728,-0.685286,-0.839127,-1.125349,-1.367791,-1.554322,-1.742389,-1.826015,-1.87245,-1.848536,-1.649246,-1.41807,-1.006463,-0.445307,-0.5347,-0.70615,-0.857479,-1.007179,-1.292737,-1.68988,-1.936956,-2.112897,-2.194605,-2.096902,-1.925128,-1.727279,-1.41807,-1.244921,-0.35326,-0.5347,-0.795019,-0.943576,-1.175231,-1.54382,-1.931447,-2.243063,-2.2611,-2.194605,-2.022084,-1.695354,-1.415146,-1.260388,-1.244921,-0.35326,-0.443739,-0.70615,-0.943576,-1.259258,-1.627515,-2.01197,-2.166536,-2.112897,-1.899733,-1.573182,-1.235808,-0.946946,-0.787343,-0.768006,-0.35326,-0.352779,-0.528411,-0.943576,-1.175231,-1.460126,-1.770403,-1.783902,-1.668287,-1.383707,-1.124279,-0.776261,-0.478745,-0.314298,-0.29109,-0.537353,-0.352779,-0.439542,-0.771382,-0.923153,-1.125349,-1.287269,-1.171687,-1.075474,-0.867681,-0.600559,-0.316715,-0.088578,0.001065,-0.052633,-0.721447,-0.5347,-0.439542,-0.599189,-0.7551,-0.706877,-0.64309,-0.559473,-0.40856,-0.277937,-0.076839,-0.01035,0.067488,0.079906,0.026853,-0.997587,-0.71662,-0.528411,-0.513092,-0.587048,-0.455795,-0.159956,0.052741,0.184253,0.238089,0.222429,0.219423,0.145522,0.001065,-0.132118,-1.18168,-0.989501,-0.70615,-0.513092,-0.503022,-0.288406,0.001088,0.282322,0.406557,0.385525,0.297246,0.142832,-0.010545,-0.235457,-0.450062,-1.089633,-0.989501,-0.70615,-0.513092,-0.418996,-0.3721,-0.079434,0.205795,0.332456,0.238089,0.072795,-0.086941,-0.244645,-0.550821,-0.768006,-0.90554,-0.807581,-0.61728,-0.513092,-0.418996,-0.455795,-0.321001,-0.100312,-0.038052,-0.056783,-0.226473,-0.393306,-0.556779,-0.787343,-1.006463,-0.6294,-0.62566,-0.528411,-0.340898,-0.250943,-0.3721,-0.482046,-0.406419,-0.334459,-0.499091,-0.525742,-0.69967,-0.868912,-1.102707,-1.244921,NROI
2,-0.417771,-0.40542,-0.431403,-0.452916,-0.539822,-0.636026,-0.633066,-0.639816,-0.656919,-0.684058,-0.802873,-0.949279,-0.995411,-1.094514,-1.088464,-0.417771,-0.471794,-0.431403,-0.452916,-0.539822,-0.636026,-0.633066,-0.702945,-0.721649,-0.817797,-0.942668,-1.09517,-1.145127,-1.171141,-1.088464,-0.417771,-0.471794,-0.49642,-0.516513,-0.539822,-0.636026,-0.695445,-0.766073,-0.851108,-1.018406,-1.15236,-1.241062,-1.219986,-1.171141,-1.01109,-0.350271,-0.471794,-0.561438,-0.580111,-0.602337,-0.698118,-0.757825,-0.89233,-1.045298,-1.152145,-1.222257,-1.168116,-0.995411,-0.788009,-0.546846,-0.282771,-0.40542,-0.561438,-0.643708,-0.664851,-0.760211,-0.882583,-1.018587,-1.174757,-1.219015,-1.082462,-0.876333,-0.546262,-0.251624,0.072146,-0.215271,-0.40542,-0.561438,-0.643708,-0.727366,-0.822303,-1.007342,-1.144845,-1.239487,-1.152145,-0.802873,-0.43866,-0.171971,0.054881,0.304268,-0.215271,-0.339046,-0.49642,-0.643708,-0.727366,-0.822303,-1.007342,-1.144845,-1.174757,-0.884667,-0.523285,-0.219823,-0.022255,0.131507,0.226894,-0.282771,-0.339046,-0.49642,-0.643708,-0.727366,-0.822303,-1.007342,-1.018587,-0.980568,-0.617188,-0.313593,-0.073931,0.052603,0.054881,0.14952,-0.350271,-0.339046,-0.49642,-0.643708,-0.727366,-0.822303,-0.882583,-0.89233,-0.721649,-0.41658,-0.173798,-0.000986,-0.022255,-0.021745,-0.005228,-0.417771,-0.40542,-0.49642,-0.580111,-0.664851,-0.760211,-0.757825,-0.639816,-0.46273,-0.215971,-0.103901,-0.073931,-0.097113,-0.098372,-0.082602,-0.485271,-0.471794,-0.49642,-0.580111,-0.664851,-0.636026,-0.570687,-0.450431,-0.268541,-0.149101,-0.103901,-0.073931,-0.171971,-0.174998,-0.23735,-0.620272,-0.538168,-0.561438,-0.580111,-0.602337,-0.573934,-0.445928,-0.261045,-0.139081,-0.082232,-0.173798,-0.146877,-0.171971,-0.251624,-0.314724,-0.687772,-0.604542,-0.626456,-0.643708,-0.602337,-0.511842,-0.383549,-0.197916,-0.074352,-0.149101,-0.243696,-0.219823,-0.24683,-0.251624,-0.314724,-0.755272,-0.73729,-0.691474,-0.643708,-0.602337,-0.511842,-0.321169,-0.197916,-0.139081,-0.28284,-0.38349,-0.292768,-0.171971,-0.174998,-0.314724,-0.822772,-0.803664,-0.756492,-0.707305,-0.664851,-0.511842,-0.383549,-0.261045,-0.268541,-0.41658,-0.453387,-0.219823,-0.022255,-0.098372,-0.314724,NROI
3,-0.461379,-0.529151,-0.727354,-0.882547,-1.028317,-1.155327,-1.209124,-1.282744,-1.257055,-1.197659,-1.159317,-1.14628,-1.199676,-1.243571,-1.20045,-0.461379,-0.529151,-0.656996,-0.813511,-0.961036,-1.024502,-1.082299,-1.098308,-1.076663,-1.01801,-1.039248,-1.024493,-1.013822,-0.991795,-0.882734,-0.532213,-0.529151,-0.656996,-0.744474,-0.893754,-0.95909,-0.955474,-0.975351,-0.956402,-0.958127,-0.919179,-0.902706,-0.766018,-0.61413,-0.501475,-0.532213,-0.529151,-0.586637,-0.744474,-0.826473,-0.893677,-0.892061,-0.913872,-0.896271,-0.898244,-0.859144,-0.720025,-0.580164,-0.362354,-0.120217,-0.532213,-0.529151,-0.586637,-0.675438,-0.759191,-0.828264,-0.828648,-0.852394,-0.896271,-0.838361,-0.739075,-0.598238,-0.33236,-0.110577,0.00687,-0.532213,-0.529151,-0.516279,-0.606401,-0.691909,-0.762852,-0.828648,-0.852394,-0.836141,-0.778478,-0.619006,-0.476451,-0.270408,-0.047633,0.070413,-0.532213,-0.529151,-0.516279,-0.537365,-0.624628,-0.697439,-0.765236,-0.790915,-0.77601,-0.718595,-0.558971,-0.354664,-0.146506,0.015311,0.070413,-0.532213,-0.529151,-0.44592,-0.468328,-0.557346,-0.632027,-0.701823,-0.729436,-0.71588,-0.598829,-0.438902,-0.29377,-0.146506,0.015311,0.070413,-0.461379,-0.45847,-0.44592,-0.468328,-0.490065,-0.566614,-0.638411,-0.667958,-0.595618,-0.538946,-0.378867,-0.232877,-0.084555,0.015311,0.00687,-0.461379,-0.45847,-0.44592,-0.399292,-0.422783,-0.501202,-0.574998,-0.545,-0.535488,-0.419181,-0.258798,-0.171983,-0.084555,-0.047633,-0.120217,-0.461379,-0.45847,-0.375562,-0.399292,-0.355501,-0.435789,-0.448173,-0.483521,-0.475357,-0.359298,-0.198763,-0.171983,-0.084555,-0.110577,-0.18376,-0.461379,-0.45847,-0.375562,-0.330255,-0.355501,-0.370377,-0.38476,-0.422043,-0.355096,-0.299415,-0.198763,-0.171983,-0.146506,-0.110577,-0.18376,-0.532213,-0.45847,-0.375562,-0.399292,-0.28822,-0.304964,-0.257935,-0.299085,-0.294965,-0.179649,-0.198763,-0.232877,-0.146506,-0.173522,-0.247303,-0.603047,-0.529151,-0.44592,-0.399292,-0.355501,-0.239551,-0.194522,-0.176128,-0.174704,-0.119766,-0.258798,-0.232877,-0.146506,-0.110577,-0.18376,-0.673881,-0.599832,-0.516279,-0.468328,-0.422783,-0.304964,-0.194522,-0.114649,-0.054443,-0.059883,-0.258798,-0.232877,-0.146506,-0.110577,-0.18376,NROI
4,-1.412784,-1.363298,-1.376573,-1.295729,-1.291715,-1.195816,-1.113085,-1.142027,-1.18947,-1.23444,-1.140598,-1.057151,-0.846129,-0.621779,-0.422801,-1.5068,-1.45543,-1.376573,-1.382423,-1.37549,-1.435844,-1.421291,-1.440122,-1.407523,-1.305529,-1.140598,-0.920625,-0.710455,-0.489371,-0.357346,-1.412784,-1.363298,-1.286981,-1.295729,-1.37549,-1.435844,-1.421291,-1.440122,-1.334839,-1.163352,-0.932192,-0.715837,-0.574781,-0.489371,-0.422801,-1.224751,-1.179035,-1.197388,-1.209034,-1.207941,-1.275826,-1.190136,-1.142027,-1.044101,-0.950087,-0.793255,-0.647574,-0.574781,-0.489371,-0.488256,-1.224751,-1.086903,-1.018204,-1.035646,-0.956617,-0.955788,-0.958981,-0.918456,-0.898732,-0.80791,-0.723787,-0.647574,-0.574781,-0.555575,-0.55371,-1.412784,-1.179035,-1.018204,-0.948951,-0.789067,-0.795769,-0.727826,-0.769408,-0.753364,-0.80791,-0.793255,-0.715837,-0.642618,-0.687983,-0.619165,-1.5068,-1.271167,-1.018204,-0.862257,-0.705292,-0.63575,-0.650774,-0.62036,-0.680679,-0.736821,-0.793255,-0.784099,-0.778292,-0.754186,-0.750074,-1.130735,-1.179035,-1.018204,-0.775563,-0.705292,-0.555741,-0.496671,-0.545837,-0.680679,-0.736821,-0.793255,-0.784099,-0.846129,-0.82039,-0.815528,-0.28459,-0.626246,-0.928612,-0.775563,-0.621518,-0.555741,-0.496671,-0.471313,-0.607995,-0.736821,-0.862724,-0.852362,-0.846129,-0.886594,-0.946437,0.373524,0.110807,-0.391058,-0.688868,-0.621518,-0.555741,-0.496671,-0.471313,-0.535311,-0.736821,-0.862724,-0.852362,-0.846129,-0.952798,-1.011892,0.843605,0.663596,0.236088,-0.342091,-0.537743,-0.475732,-0.496671,-0.471313,-0.535311,-0.665733,-0.793255,-0.852362,-0.846129,-0.886594,-0.946437,1.125653,0.939991,0.684049,0.178075,-0.286419,-0.395722,-0.419619,-0.471313,-0.462626,-0.594645,-0.723787,-0.784099,-0.778292,-0.82039,-0.880983,1.125653,0.939991,0.773641,0.524852,0.04868,-0.315713,-0.342568,-0.396789,-0.462626,-0.523556,-0.58485,-0.715837,-0.710455,-0.687983,-0.684619,1.031637,0.847859,0.684049,0.524852,0.300004,-0.155694,-0.265516,-0.322265,-0.389942,-0.38138,-0.445913,-0.579311,-0.642618,-0.621779,-0.55371,0.937621,0.755728,0.594457,0.438158,0.300004,0.004325,-0.265516,-0.322265,-0.317257,-0.310291,-0.376444,-0.442786,-0.506944,-0.489371,-0.422801,NROI
5,-0.160635,-0.368047,-0.477766,-0.599443,-0.568407,-0.617621,-0.676299,-1.079961,-1.556627,-1.767059,-1.838507,-1.806548,-1.688056,-1.580084,-1.470329,-0.358751,-0.468547,-0.68272,-0.70431,-0.775609,-0.917647,-1.16313,-1.579444,-1.969126,-2.089134,-2.163725,-2.123837,-1.998793,-1.886174,-1.668515,-0.358751,-0.468547,-0.68272,-0.809177,-0.982812,-1.217673,-1.552594,-1.979029,-2.175376,-2.411209,-2.488943,-2.441126,-2.309529,-2.090233,-1.866702,-0.358751,-0.468547,-0.580243,-0.809177,-1.190014,-1.517699,-1.942058,-2.278719,-2.381625,-2.518567,-2.597348,-2.335363,-2.102372,-1.784144,-1.668515,-0.358751,-0.468547,-0.68272,-0.914044,-1.293615,-1.717717,-2.13679,-2.378615,-2.48475,-2.411209,-2.163725,-1.806548,-1.377319,-1.171965,-0.974863,-0.457809,-0.569047,-0.785197,-1.018911,-1.397217,-1.917734,-2.331522,-2.278719,-2.175376,-1.874418,-1.513289,-1.066206,-0.755846,-0.355726,-0.182117,-0.655925,-0.770047,-0.887675,-1.123779,-1.500818,-2.017743,-2.234156,-1.979029,-1.659752,-1.337626,-0.862853,-0.431628,-0.030794,0.256453,0.412442,-0.854041,-0.870547,-1.092629,-1.228646,-1.604419,-2.017743,-2.039424,-1.579444,-1.247253,-0.800835,-0.429229,0.097188,0.487101,0.766603,0.907908,-0.953099,-1.071547,-1.195106,-1.333513,-1.70802,-1.917734,-1.747326,-1.279754,-0.834753,-0.47876,0.004395,0.414477,0.797837,1.072692,1.205188,-1.052157,-1.172047,-1.297584,-1.43838,-1.70802,-1.817725,-1.455228,-0.980065,-0.628504,-0.264043,0.221207,0.626003,0.901416,1.072692,1.205188,-1.151215,-1.272547,-1.297584,-1.43838,-1.604419,-1.617708,-1.16313,-0.880169,-0.525379,-0.049327,0.438019,0.731766,0.901416,0.970662,1.106094,-1.349331,-1.373047,-1.400061,-1.43838,-1.604419,-1.517699,-0.968398,-0.680376,-0.319129,0.16539,0.438019,0.626003,0.694259,0.766603,0.808815,-1.448389,-1.473547,-1.502538,-1.543247,-1.500818,-1.317682,-0.773665,-0.580479,-0.216005,0.16539,0.329613,0.414477,0.383522,0.460513,0.511535,-1.646505,-1.674547,-1.605015,-1.543247,-1.397217,-1.117665,-0.676299,-0.480583,-0.319129,0.058032,0.221207,0.308714,0.176364,0.154424,0.214256,-1.745563,-1.674547,-1.707493,-1.648114,-1.397217,-0.917647,-0.676299,-0.580479,-0.422254,-0.156685,0.112801,0.097188,0.072785,-0.049636,0.016069,NROI
6,-0.470896,-0.491893,-0.452248,-0.461108,-0.516113,-0.566653,-0.608776,-0.65373,-0.697813,-0.744664,-0.736409,-0.736315,-0.730916,-0.677107,-0.680862,-0.537651,-0.557955,-0.583746,-0.656837,-0.709004,-0.82002,-0.858357,-0.962251,-1.002283,-1.045457,-1.094924,-1.037017,-1.031738,-0.980412,-0.98659,-0.537651,-0.557955,-0.649496,-0.722079,-0.837597,-0.946704,-1.107938,-1.209067,-1.24586,-1.346249,-1.333933,-1.277579,-1.212232,-1.162395,-1.10888,-0.470896,-0.557955,-0.649496,-0.787322,-0.901894,-1.010046,-1.170334,-1.332476,-1.367648,-1.406407,-1.333933,-1.277579,-1.212232,-1.101734,-0.98659,-0.404141,-0.491893,-0.583746,-0.722079,-0.837597,-1.010046,-1.170334,-1.270772,-1.306754,-1.28609,-1.214429,-1.097158,-0.971574,-0.85909,-0.742008,-0.27063,-0.293707,-0.386499,-0.526351,-0.709004,-0.883362,-1.045543,-1.147363,-1.184966,-1.105615,-1.035171,-0.916736,-0.791081,-0.677107,-0.558572,-0.137119,-0.161584,-0.255,-0.395865,-0.516113,-0.756678,-0.920752,-0.962251,-1.002283,-0.985298,-0.915666,-0.796455,-0.670752,-0.555786,-0.436281,-0.137119,-0.095522,-0.123502,-0.200137,-0.387519,-0.503311,-0.671171,-0.777138,-0.758707,-0.744664,-0.736409,-0.676174,-0.610587,-0.495125,-0.375135,-0.203874,-0.161584,-0.123502,-0.134894,-0.194628,-0.313285,-0.483985,-0.530322,-0.576025,-0.564189,-0.557151,-0.555893,-0.490259,-0.434464,-0.375135,-0.27063,-0.227645,-0.189251,-0.134894,-0.130332,-0.186602,-0.296799,-0.34521,-0.393343,-0.383713,-0.437646,-0.435612,-0.430094,-0.434464,-0.375135,-0.404141,-0.359769,-0.32075,-0.200137,-0.194628,-0.12326,-0.172009,-0.221801,-0.271555,-0.263397,-0.318142,-0.375472,-0.430094,-0.434464,-0.375135,-0.470896,-0.425831,-0.386499,-0.330622,-0.194628,-0.12326,-0.109613,-0.160097,-0.149766,-0.203238,-0.318142,-0.375472,-0.430094,-0.434464,-0.436281,-0.470896,-0.491893,-0.517997,-0.395865,-0.323222,-0.186602,-0.109613,-0.098393,-0.149766,-0.203238,-0.318142,-0.375472,-0.490259,-0.495125,-0.497426,-0.404141,-0.491893,-0.517997,-0.526351,-0.387519,-0.249944,-0.172009,-0.160097,-0.210661,-0.263397,-0.318142,-0.435612,-0.490259,-0.495125,-0.497426,-0.404141,-0.425831,-0.452248,-0.526351,-0.451816,-0.376627,-0.234404,-0.221801,-0.210661,-0.263397,-0.377894,-0.495753,-0.550423,-0.555786,-0.558572,NROI
7,-0.110927,-0.101152,-0.102651,-0.189688,-0.279608,-0.337449,-0.391546,-0.448487,-0.510468,-0.567756,-0.55611,-0.556916,-0.566119,-0.575892,-0.504596,-0.229893,-0.327979,-0.316627,-0.390215,-0.467708,-0.51455,-0.560001,-0.609594,-0.74656,-0.800735,-0.788608,-0.869127,-0.885912,-0.824141,-0.847165,-0.348858,-0.441392,-0.530603,-0.590743,-0.655807,-0.691651,-0.728457,-0.770701,-0.825257,-0.878395,-0.943607,-1.025232,-1.045808,-0.98964,-1.01845,-0.467823,-0.554805,-0.637592,-0.79127,-0.843907,-0.868752,-0.896913,-0.931808,-0.982652,-1.033715,-1.098605,-1.103285,-1.125756,-1.155139,-1.104093,-0.348858,-0.554805,-0.851568,-0.991797,-1.126057,-1.134403,-1.233824,-1.254021,-1.218743,-1.266694,-1.331103,-1.337443,-1.3656,-1.320638,-1.275378,-0.229893,-0.554805,-0.851568,-1.092061,-1.220107,-1.400054,-1.40228,-1.495682,-1.533532,-1.577333,-1.563601,-1.571601,-1.525496,-1.486137,-1.446662,-0.110927,-0.441392,-0.74458,-0.991797,-1.220107,-1.400054,-1.570736,-1.656789,-1.690927,-1.732653,-1.7186,-1.649653,-1.605445,-1.486137,-1.36102,0.008038,-0.327979,-0.637592,-0.891533,-1.126057,-1.400054,-1.570736,-1.656789,-1.690927,-1.654993,-1.563601,-1.415495,-1.3656,-1.237889,-1.104093,0.008038,-0.214565,-0.530603,-0.79127,-1.032007,-1.222954,-1.318052,-1.334575,-1.218743,-1.111375,-0.943607,-0.791074,-0.646067,-0.493143,-0.333311,0.008038,-0.101152,-0.316627,-0.490479,-0.655807,-0.780201,-0.728457,-0.690147,-0.510468,-0.334777,-0.091114,0.067505,0.31331,0.499852,0.694398,0.127004,0.012261,-0.102651,-0.189688,-0.185558,-0.160348,-0.054634,0.034834,0.197807,0.441821,0.60638,0.848031,1.112791,1.410097,1.550822,0.127004,0.239087,0.218314,0.211367,0.284692,0.459505,0.619188,0.759815,0.906082,1.0631,1.303874,1.472453,1.672428,1.823845,1.979034,0.364934,0.465914,0.539278,0.612421,0.848991,0.990808,1.124556,1.323689,1.456962,1.606718,1.69137,1.784663,1.912272,1.989344,2.064677,0.840796,0.806153,0.967231,1.013476,1.225191,1.34501,1.545695,1.645903,1.693054,1.762038,1.76887,1.784663,1.832324,1.823845,1.807749,1.316657,1.373219,1.502171,1.514794,1.60139,1.699211,1.714151,1.726456,1.693054,1.684378,1.69137,1.628558,1.59248,1.575596,1.550822,NROI
8,-0.471702,-0.607394,-0.823004,-0.739329,-0.596019,-0.660584,-0.810963,-0.850586,-1.023832,-1.147971,-1.260534,-1.370417,-1.362731,-0.978837,-0.607558,-0.551578,-0.529899,-0.595756,-0.589437,-0.670774,-0.807381,-0.956445,-1.072217,-1.246666,-1.368811,-1.4795,-1.443585,-1.140285,-0.754119,-0.531484,-0.711331,-0.607394,-0.671505,-0.664383,-0.820284,-1.027576,-1.101927,-1.293849,-1.4695,-1.589651,-1.625477,-1.297249,-0.991988,-0.829025,-0.759704,-0.871084,-0.762384,-0.823004,-0.88922,-0.969794,-1.174372,-1.32015,-1.441603,-1.543778,-1.589651,-1.406511,-1.150913,-0.991988,-0.903931,-0.911851,-1.110712,-0.99487,-0.974502,-1.039111,-1.119304,-1.321169,-1.465632,-1.51548,-1.4695,-1.368811,-1.187545,-1.004577,-0.991988,-0.978837,-0.911851,-1.270465,-1.14986,-1.126,-1.189002,-1.268814,-1.394567,-1.465632,-1.441603,-1.320944,-1.147971,-0.968579,-0.931409,-0.917839,-0.903931,-0.911851,-1.350341,-1.30485,-1.277498,-1.338894,-1.418324,-1.541363,-1.538373,-1.293849,-1.023832,-0.927131,-0.822602,-0.858241,-0.769542,-0.829025,-0.759704,-1.510094,-1.45984,-1.428996,-1.488785,-1.567834,-1.614762,-1.538373,-1.219972,-0.875276,-0.70629,-0.676625,-0.711905,-0.695394,-0.604308,-0.607558,-1.669847,-1.614831,-1.656244,-1.713622,-1.717343,-1.68816,-1.538373,-1.219972,-0.875276,-0.632677,-0.530647,-0.492401,-0.472948,-0.37959,-0.379338,-1.829599,-1.847316,-1.883491,-1.938459,-1.866853,-1.68816,-1.538373,-1.219972,-0.875276,-0.48545,-0.311681,-0.199729,-0.102205,-0.005061,0.001028,-1.989352,-2.079801,-2.034989,-1.938459,-1.717343,-1.467965,-1.247409,-0.924463,-0.578164,-0.117383,0.126251,0.312447,0.416835,0.444374,0.381394,-2.069228,-2.079801,-1.883491,-1.563731,-1.268814,-0.954177,-0.665481,-0.407323,-0.132496,0.250683,0.491194,0.605119,0.639281,0.594185,0.533541,-1.909476,-1.692326,-1.428996,-1.114057,-0.820284,-0.513788,-0.301777,-0.111814,0.164616,0.324297,0.491194,0.605119,0.565133,0.594185,0.533541,-1.270465,-1.072365,-0.747255,-0.514492,-0.222244,0.0,0.134669,0.183695,0.313172,0.39791,0.491194,0.531951,0.490984,0.444374,0.457467,-0.471702,-0.297414,-0.065513,0.160019,0.375795,0.44039,0.425633,0.405326,0.38745,0.471523,0.491194,0.458783,0.416835,0.369468,0.305321,NROI
9,-0.071302,-0.350167,-0.383851,-0.490548,-0.676052,-0.852953,-0.988809,-1.050855,-1.044445,-1.030728,-1.085229,-1.066559,-1.048729,-0.942205,-0.828097,-0.157799,-0.350167,-0.383851,-0.490548,-0.755336,-0.852953,-1.063857,-1.123531,-1.18639,-1.240464,-1.29418,-1.206373,-1.119088,-1.012704,-0.757417,-0.330793,-0.432954,-0.465241,-0.570859,-0.755336,-0.930781,-1.138905,-1.268883,-1.399307,-1.4502,-1.433481,-1.346188,-1.119088,-0.871707,-0.686738,-0.503788,-0.598528,-0.70941,-0.731481,-0.834619,-1.086436,-1.289001,-1.486911,-1.612225,-1.590024,-1.503132,-1.27628,-1.048729,-0.871707,-0.686738,-0.849776,-0.929676,-0.953578,-0.972414,-1.072469,-1.31992,-1.514145,-1.704939,-1.75417,-1.659936,-1.433481,-1.206373,-0.97837,-0.801208,-0.616058,-1.109268,-1.09525,-1.116358,-1.213347,-1.31032,-1.553404,-1.664241,-1.850291,-1.75417,-1.590024,-1.363831,-1.136466,-0.908011,-0.730709,-0.545379,-1.282262,-1.260824,-1.360527,-1.45428,-1.54817,-1.70906,-1.739289,-1.777615,-1.541252,-1.380288,-1.22453,-1.066559,-0.837652,-0.660211,-0.474699,-1.541754,-1.591973,-1.604695,-1.695212,-1.706737,-1.631232,-1.589193,-1.414235,-1.257363,-1.10064,-1.015579,-0.926744,-0.767293,-0.589712,-0.474699,-1.801245,-1.840334,-1.848864,-1.775523,-1.706737,-1.397748,-1.138905,-0.978179,-0.831528,-0.820993,-0.806627,-0.786929,-0.696934,-0.589712,-0.474699,-1.97424,-2.005908,-1.930254,-1.855834,-1.627453,-1.164264,-0.763665,-0.542124,-0.405694,-0.401521,-0.458375,-0.5073,-0.556216,-0.519213,-0.474699,-2.060737,-2.005908,-1.930254,-1.775523,-1.468887,-1.008608,-0.53852,-0.25142,-0.192776,-0.191785,-0.249424,-0.367486,-0.485857,-0.519213,-0.474699,-2.060737,-2.005908,-1.767475,-1.53459,-1.231036,-0.852953,-0.53852,-0.324096,-0.263749,-0.261697,-0.249424,-0.297578,-0.415498,-0.448715,-0.474699,-1.97424,-1.840334,-1.686085,-1.373969,-1.072469,-0.775125,-0.613568,-0.469448,-0.405694,-0.331609,-0.319074,-0.297578,-0.345139,-0.448715,-0.474699,-1.887743,-1.757547,-1.523306,-1.213347,-0.834619,-0.541641,-0.313376,-0.178744,-0.192776,-0.191785,-0.249424,-0.297578,-0.345139,-0.448715,-0.545379,-1.541754,-1.426398,-1.197747,-0.811792,-0.438202,-0.074673,0.21196,0.329988,0.30403,0.227686,0.168479,0.051958,-0.134062,-0.307717,-0.474699,NROI
